series,timestamp,value,label
Rise_true,2020-06-01T00:00:00.000Z,185,Outliar_false
Rise_false,2020-06-01T00:00:00.000Z,925,Outliar_false
Rise_true,2020-06-02T00:00:00.000Z,190,Outliar_false
Rise_false,2020-06-02T00:00:00.000Z,915,Outliar_false
Rise_true,2020-06-03T00:00:00.000Z,185,Outliar_false
Rise_false,2020-06-03T00:00:00.000Z,915,Outliar_false
Rise_true,2020-06-04T00:00:00.000Z,185,Outliar_false
Rise_false,2020-06-04T00:00:00.000Z,900,Outliar_false
Rise_true,2020-06-05T00:00:00.000Z,205,Outliar_false
Rise_false,2020-06-05T00:00:00.000Z,910,Outliar_false
Rise_true,2020-06-06T00:00:00.000Z,190,Outliar_false
Rise_false,2020-06-06T00:00:00.000Z,920,Outliar_false
Rise_true,2020-06-07T00:00:00.000Z,215,Outliar_false
Rise_false,2020-06-07T00:00:00.000Z,915,Outliar_false
Rise_true,2020-06-08T00:00:00.000Z,190,Outliar_false
Rise_false,2020-06-08T00:00:00.000Z,915,Outliar_false
Rise_true,2020-06-09T00:00:00.000Z,185,Outliar_false
Rise_false,2020-06-09T00:00:00.000Z,905,Outliar_false
Rise_true,2020-06-10T00:00:00.000Z,190,Outliar_false
Rise_false,2020-06-10T00:00:00.000Z,900,Outliar_false
Rise_true,2020-06-11T00:00:00.000Z,190,Outliar_false
Rise_false,2020-06-11T00:00:00.000Z,910,Outliar_false
Rise_true,2020-06-12T00:00:00.000Z,185,Outliar_false
Rise_false,2020-06-12T00:00:00.000Z,895,Outliar_false
Rise_true,2020-06-13T00:00:00.000Z,205,Outliar_false
Rise_false,2020-06-13T00:00:00.000Z,900,Outliar_false
Rise_true,2020-06-14T00:00:00.000Z,190,Outliar_false
Rise_false,2020-06-14T00:00:00.000Z,905,Outliar_false
Rise_true,2020-06-15T00:00:00.000Z,215,Outliar_false
Rise_false,2020-06-15T00:00:00.000Z,890,Outliar_false
Rise_true,2020-06-16T00:00:00.000Z,205,Outliar_false
Rise_false,2020-06-16T00:00:00.000Z,915,Outliar_false
Rise_true,2020-06-17T00:00:00.000Z,195,Outliar_false
