"series","timestamp","value","label"
"Set","2020-08-20T00:00:00Z",1000,"Delete"
"Rise","2020-08-20T00:00:00Z",170,""
"Set","2020-08-21T00:00:00Z",935,""
"Rise","2020-08-21T00:00:00Z",185,""
"Set","2020-08-22T00:00:00Z",920,""
"Rise","2020-08-22T00:00:00Z",180,""
"Set","2020-08-23T00:00:00Z",950,""
"Rise","2020-08-23T00:00:00Z",190,""
"Set","2020-08-24T00:00:00Z",910,""
"Rise","2020-08-24T00:00:00Z",180,""
"Set","2020-08-25T00:00:00Z",925,""
"Rise","2020-08-25T00:00:00Z",190,""
"Set","2020-08-26T00:00:00Z",920,""
"Rise","2020-08-26T00:00:00Z",195,""
"Set","2020-08-27T00:00:00Z",930,""
"Rise","2020-08-27T00:00:00Z",190,""
"Set","2020-08-28T00:00:00Z",895,"Delete"
"Rise","2020-08-28T00:00:00Z",190,""
"Set","2020-08-29T00:00:00Z",905,"Delete"
"Rise","2020-08-29T00:00:00Z",190,""
"Set","2020-08-30T00:00:00Z",905,"Delete"
"Rise","2020-08-30T00:00:00Z",190,""
"Set","2020-08-31T00:00:00Z",925,""
"Rise","2020-08-31T00:00:00Z",180,""
"Set","2020-09-01T00:00:00Z",940,""
"Rise","2020-09-01T00:00:00Z",170,""
"Set","2020-09-02T00:00:00Z",920,""
"Rise","2020-09-02T00:00:00Z",185,""
"Set","2020-09-03T00:00:00Z",935,""
"Rise","2020-09-03T00:00:00Z",185,""
"Set","2020-09-04T00:00:00Z",895,"Delete"
"Rise","2020-09-04T00:00:00Z",185,""
"Set","2020-09-05T00:00:00Z",905,"Delete"
"Rise","2020-09-05T00:00:00Z",175,""
"Set","2020-09-06T00:00:00Z",940,""
"Rise","2020-09-06T00:00:00Z",185,""
"Set","2020-09-07T00:00:00Z",905,"Delete"
"Rise","2020-09-07T00:00:00Z",190,""
"Set","2020-09-08T00:00:00Z",935,""
"Rise","2020-09-08T00:00:00Z",180,""
"Set","2020-09-09T00:00:00Z",935,""
"Rise","2020-09-09T00:00:00Z",170,""
"Set","2020-09-10T00:00:00Z",930,""
