series,timestamp,value,label
Set,2020-07-08T00:00:00.000Z,1060,label_1
Rise,2020-07-08T00:00:00.000Z,200,label_1
Set,2020-07-09T00:00:00.000Z,928,
Rise,2020-07-09T00:00:00.000Z,212,
Set,2020-07-10T00:00:00.000Z,916,
Rise,2020-07-10T00:00:00.000Z,214,
Set,2020-07-11T00:00:00.000Z,912,
Rise,2020-07-11T00:00:00.000Z,222,
Set,2020-07-12T00:00:00.000Z,906,
Rise,2020-07-12T00:00:00.000Z,220,
Set,2020-07-13T00:00:00.000Z,914,
Rise,2020-07-13T00:00:00.000Z,206,label_1
Set,2020-07-14T00:00:00.000Z,916,
Rise,2020-07-14T00:00:00.000Z,222,
Set,2020-07-15T00:00:00.000Z,920,
Rise,2020-07-15T00:00:00.000Z,216,
Set,2020-07-16T00:00:00.000Z,918,
Rise,2020-07-16T00:00:00.000Z,220,
Set,2020-07-17T00:00:00.000Z,924,
Rise,2020-07-17T00:00:00.000Z,214,
Set,2020-07-18T00:00:00.000Z,918,
Rise,2020-07-18T00:00:00.000Z,210,
Set,2020-07-19T00:00:00.000Z,926,
Rise,2020-07-19T00:00:00.000Z,212,
Set,2020-07-20T00:00:00.000Z,924,
Rise,2020-07-20T00:00:00.000Z,212,
Set,2020-07-21T00:00:00.000Z,970,label_1
Rise,2020-07-21T00:00:00.000Z,214,
Set,2020-07-22T00:00:00.000Z,938,
Rise,2020-07-22T00:00:00.000Z,216,
Set,2020-07-23T00:00:00.000Z,924,
Rise,2020-07-23T00:00:00.000Z,218,
Set,2020-07-24T00:00:00.000Z,926,
Rise,2020-07-24T00:00:00.000Z,208,label_1
Set,2020-07-25T00:00:00.000Z,912,
Rise,2020-07-25T00:00:00.000Z,216,
Set,2020-07-26T00:00:00.000Z,916,
Rise,2020-07-26T00:00:00.000Z,220,
Set,2020-07-27T00:00:00.000Z,918,
Rise,2020-07-27T00:00:00.000Z,204,label_1
Set,2020-07-28T00:00:00.000Z,942,
Rise,2020-07-28T00:00:00.000Z,220,
Set,2020-07-29T00:00:00.000Z,936,
Rise,2020-07-29T00:00:00.000Z,218,
Set,2020-07-30T00:00:00.000Z,978,label_1
Rise,2020-07-30T00:00:00.000Z,204,label_1
Set,2020-07-31T00:00:00.000Z,930,
Rise,2020-07-31T00:00:00.000Z,216,
Set,2020-08-01T00:00:00.000Z,928,
Rise,2020-08-01T00:00:00.000Z,212,
Set,2020-08-02T00:00:00.000Z,938,
Rise,2020-08-02T00:00:00.000Z,220,
Set,2020-08-03T00:00:00.000Z,934,
Rise,2020-08-03T00:00:00.000Z,214,
Set,2020-08-04T00:00:00.000Z,918,
Rise,2020-08-04T00:00:00.000Z,218,
Set,2020-08-05T00:00:00.000Z,922,
Rise,2020-08-05T00:00:00.000Z,220,
Set,2020-08-06T00:00:00.000Z,910,
Rise,2020-08-06T00:00:00.000Z,202,label_1
Set,2020-08-07T00:00:00.000Z,934,
Rise,2020-08-07T00:00:00.000Z,226,label_1
Set,2020-08-08T00:00:00.000Z,934,
Rise,2020-08-08T00:00:00.000Z,220,
Set,2020-08-09T00:00:00.000Z,976,label_1
Rise,2020-08-09T00:00:00.000Z,218,
Set,2020-08-10T00:00:00.000Z,908,
Rise,2020-08-10T00:00:00.000Z,218,
Set,2020-08-11T00:00:00.000Z,928,
Rise,2020-08-11T00:00:00.000Z,218,
Set,2020-08-12T00:00:00.000Z,930,
Rise,2020-08-12T00:00:00.000Z,216,
Set,2020-08-13T00:00:00.000Z,934,
Rise,2020-08-13T00:00:00.000Z,222,
Set,2020-08-14T00:00:00.000Z,912,
Rise,2020-08-14T00:00:00.000Z,206,label_1
Set,2020-08-15T00:00:00.000Z,934,
Rise,2020-08-15T00:00:00.000Z,210,
Set,2020-08-16T00:00:00.000Z,944,label_1
Rise,2020-08-16T00:00:00.000Z,220,
Set,2020-08-17T00:00:00.000Z,928,
Rise,2020-08-17T00:00:00.000Z,220,
Set,2020-08-18T00:00:00.000Z,922,
Rise,2020-08-18T00:00:00.000Z,216,
Set,2020-08-19T00:00:00.000Z,916,
Rise,2020-08-19T00:00:00.000Z,214,
Set,2020-08-20T00:00:00.000Z,930,
Rise,2020-08-20T00:00:00.000Z,214,
Set,2020-08-21T00:00:00.000Z,924,
Rise,2020-08-21T00:00:00.000Z,216,
Set,2020-08-22T00:00:00.000Z,910,
Rise,2020-08-22T00:00:00.000Z,218,
Set,2020-08-23T00:00:00.000Z,912,
Rise,2020-08-23T00:00:00.000Z,212,
Set,2020-08-24T00:00:00.000Z,932,
Rise,2020-08-24T00:00:00.000Z,218,
Set,2020-08-25T00:00:00.000Z,902,
Rise,2020-08-25T00:00:00.000Z,190,label_1
Set,2020-08-26T00:00:00.000Z,924,
Rise,2020-08-26T00:00:00.000Z,218,
Set,2020-08-27T00:00:00.000Z,934,
Rise,2020-08-27T00:00:00.000Z,210,
Set,2020-08-28T00:00:00.000Z,924,
Rise,2020-08-28T00:00:00.000Z,202,label_1
Set,2020-08-29T00:00:00.000Z,928,
Rise,2020-08-29T00:00:00.000Z,218,
Set,2020-08-30T00:00:00.000Z,928,
Rise,2020-08-30T00:00:00.000Z,208,
Set,2020-08-31T00:00:00.000Z,926,
Rise,2020-08-31T00:00:00.000Z,200,label_1
Set,2020-09-01T00:00:00.000Z,916,
Rise,2020-09-01T00:00:00.000Z,218,
Set,2020-09-02T00:00:00.000Z,906,
Rise,2020-09-02T00:00:00.000Z,208,
Set,2020-09-03T00:00:00.000Z,898,
Rise,2020-09-03T00:00:00.000Z,218,
Set,2020-09-04T00:00:00.000Z,904,
Rise,2020-09-04T00:00:00.000Z,190,label_1
Set,2020-09-05T00:00:00.000Z,904,
Rise,2020-09-05T00:00:00.000Z,214,
Set,2020-09-06T00:00:00.000Z,928,
Rise,2020-09-06T00:00:00.000Z,206,
Set,2020-09-07T00:00:00.000Z,914,
Rise,2020-09-07T00:00:00.000Z,206,
Set,2020-09-08T00:00:00.000Z,930,
Rise,2020-09-08T00:00:00.000Z,198,label_1
Set,2020-09-09T00:00:00.000Z,914,
Rise,2020-09-09T00:00:00.000Z,184,label_1
Set,2020-09-10T00:00:00.000Z,912,
Rise,2020-09-10T00:00:00.000Z,210,
Set,2020-09-11T00:00:00.000Z,916,
Rise,2020-09-11T00:00:00.000Z,200,label_1
Set,2020-09-12T00:00:00.000Z,910,
Rise,2020-09-12T00:00:00.000Z,204,
