"series","timestamp","value","label"
"Set","2021-08-18T00:00:00Z",1035,"Delete"
"Rise","2021-08-18T00:00:00Z",200,""
"Set","2021-08-19T00:00:00Z",925,""
"Rise","2021-08-19T00:00:00Z",190,""
"Set","2021-08-20T00:00:00Z",925,""
"Rise","2021-08-20T00:00:00Z",175,"Delete"
"Set","2021-08-21T00:00:00Z",925,""
"Rise","2021-08-21T00:00:00Z",195,""
"Set","2021-08-22T00:00:00Z",920,""
"Rise","2021-08-22T00:00:00Z",190,""
"Set","2021-08-23T00:00:00Z",930,""
"Rise","2021-08-23T00:00:00Z",190,""
"Set","2021-08-24T00:00:00Z",925,""
"Rise","2021-08-24T00:00:00Z",190,""
"Set","2021-08-25T00:00:00Z",930,""
"Rise","2021-08-25T00:00:00Z",205,""
"Set","2021-08-26T00:00:00Z",950,"Delete"
"Rise","2021-08-26T00:00:00Z",195,""
"Set","2021-08-27T00:00:00Z",915,""
"Rise","2021-08-27T00:00:00Z",170,"Delete"
"Set","2021-08-28T00:00:00Z",930,""
"Rise","2021-08-28T00:00:00Z",200,""
"Set","2021-08-29T00:00:00Z",925,""
"Rise","2021-08-29T00:00:00Z",185,""
"Set","2021-08-30T00:00:00Z",925,""
"Rise","2021-08-30T00:00:00Z",195,""
"Set","2021-08-31T00:00:00Z",920,""
"Rise","2021-08-31T00:00:00Z",205,""
"Set","2021-09-01T00:00:00Z",910,""
"Rise","2021-09-01T00:00:00Z",175,"Delete"
"Set","2021-09-02T00:00:00Z",920,""
"Rise","2021-09-02T00:00:00Z",205,""
"Set","2021-09-03T00:00:00Z",935,""
"Rise","2021-09-03T00:00:00Z",190,""
"Set","2021-09-04T00:00:00Z",920,""
"Rise","2021-09-04T00:00:00Z",185,""
"Set","2021-09-05T00:00:00Z",930,""
"Rise","2021-09-05T00:00:00Z",200,""
"Set","2021-09-06T00:00:00Z",935,""
"Rise","2021-09-06T00:00:00Z",195,""
"Set","2021-09-07T00:00:00Z",920,""
"Rise","2021-09-07T00:00:00Z",205,""
"Set","2021-09-08T00:00:00Z",920,""
"Rise","2021-09-08T00:00:00Z",185,""
"Set","2021-09-09T00:00:00Z",930,""
"Rise","2021-09-09T00:00:00Z",185,""
"Set","2021-09-10T00:00:00Z",925,""
"Rise","2021-09-10T00:00:00Z",190,""
"Set","2021-09-11T00:00:00Z",915,""
