series,timestamp,value,label
Set,2021-08-18T00:00:00.000Z,1140,label_1
Rise,2021-08-18T00:00:00.000Z,180,label_1
Set,2021-08-19T00:00:00.000Z,918,
Rise,2021-08-19T00:00:00.000Z,220,
Set,2021-08-20T00:00:00.000Z,940,
Rise,2021-08-20T00:00:00.000Z,212,
Set,2021-08-21T00:00:00.000Z,926,
Rise,2021-08-21T00:00:00.000Z,218,
Set,2021-08-22T00:00:00.000Z,924,
Rise,2021-08-22T00:00:00.000Z,208,
Set,2021-08-23T00:00:00.000Z,926,
Rise,2021-08-23T00:00:00.000Z,206,
Set,2021-08-24T00:00:00.000Z,920,
Rise,2021-08-24T00:00:00.000Z,174,label_1
Set,2021-08-25T00:00:00.000Z,976,label_1
Rise,2021-08-25T00:00:00.000Z,140,label_1
Set,2021-08-26T00:00:00.000Z,918,
Rise,2021-08-26T00:00:00.000Z,220,
Set,2021-08-27T00:00:00.000Z,902,
Rise,2021-08-27T00:00:00.000Z,216,
Set,2021-08-28T00:00:00.000Z,910,
Rise,2021-08-28T00:00:00.000Z,200,
Set,2021-08-29T00:00:00.000Z,900,
Rise,2021-08-29T00:00:00.000Z,200,
Set,2021-08-30T00:00:00.000Z,906,
Rise,2021-08-30T00:00:00.000Z,126,label_1
Set,2021-08-31T00:00:00.000Z,920,
Rise,2021-08-31T00:00:00.000Z,214,
Set,2021-09-01T00:00:00.000Z,938,
Rise,2021-09-01T00:00:00.000Z,212,
Set,2021-09-02T00:00:00.000Z,930,
Rise,2021-09-02T00:00:00.000Z,202,
Set,2021-09-03T00:00:00.000Z,920,
Rise,2021-09-03T00:00:00.000Z,212,
Set,2021-09-04T00:00:00.000Z,928,
Rise,2021-09-04T00:00:00.000Z,102,label_1
Set,2021-09-05T00:00:00.000Z,914,
Rise,2021-09-05T00:00:00.000Z,204,
Set,2021-09-06T00:00:00.000Z,902,
Rise,2021-09-06T00:00:00.000Z,206,
Set,2021-09-07T00:00:00.000Z,916,
Rise,2021-09-07T00:00:00.000Z,178,label_1
Set,2021-09-08T00:00:00.000Z,902,
Rise,2021-09-08T00:00:00.000Z,210,
Set,2021-09-09T00:00:00.000Z,922,
Rise,2021-09-09T00:00:00.000Z,128,label_1
Set,2021-09-10T00:00:00.000Z,904,
Rise,2021-09-10T00:00:00.000Z,212,
Set,2021-09-11T00:00:00.000Z,928,
Rise,2021-09-11T00:00:00.000Z,208,
Set,2021-09-12T00:00:00.000Z,942,label_1
Rise,2021-09-12T00:00:00.000Z,122,label_1
Set,2021-09-13T00:00:00.000Z,922,
Rise,2021-09-13T00:00:00.000Z,210,
Set,2021-09-14T00:00:00.000Z,922,
Rise,2021-09-14T00:00:00.000Z,198,
Set,2021-09-15T00:00:00.000Z,888,
Rise,2021-09-15T00:00:00.000Z,190,
Set,2021-09-16T00:00:00.000Z,980,label_1
Rise,2021-09-16T00:00:00.000Z,192,
Set,2021-09-17T00:00:00.000Z,908,
Rise,2021-09-17T00:00:00.000Z,166,label_1
Set,2021-09-18T00:00:00.000Z,936,
Rise,2021-09-18T00:00:00.000Z,208,
Set,2021-09-19T00:00:00.000Z,912,
Rise,2021-09-19T00:00:00.000Z,212,
Set,2021-09-20T00:00:00.000Z,950,label_1
Rise,2021-09-20T00:00:00.000Z,198,
Set,2021-09-21T00:00:00.000Z,930,
Rise,2021-09-21T00:00:00.000Z,172,label_1
Set,2021-09-22T00:00:00.000Z,904,
Rise,2021-09-22T00:00:00.000Z,172,label_1
Set,2021-09-23T00:00:00.000Z,900,
Rise,2021-09-23T00:00:00.000Z,166,label_1
Set,2021-09-24T00:00:00.000Z,908,
Rise,2021-09-24T00:00:00.000Z,194,
Set,2021-09-25T00:00:00.000Z,884,label_1
Rise,2021-09-25T00:00:00.000Z,206,
Set,2021-09-26T00:00:00.000Z,910,
Rise,2021-09-26T00:00:00.000Z,196,
Set,2021-09-27T00:00:00.000Z,914,
Rise,2021-09-27T00:00:00.000Z,120,label_1
Set,2021-09-28T00:00:00.000Z,902,
Rise,2021-09-28T00:00:00.000Z,192,
Set,2021-09-29T00:00:00.000Z,918,
Rise,2021-09-29T00:00:00.000Z,150,label_1
Set,2021-09-30T00:00:00.000Z,922,label_1
Rise,2021-09-30T00:00:00.000Z,208,
Set,2021-10-01T00:00:00.000Z,896,
Rise,2021-10-01T00:00:00.000Z,196,
Set,2021-10-02T00:00:00.000Z,886,
Rise,2021-10-02T00:00:00.000Z,210,
Set,2021-10-03T00:00:00.000Z,884,
Rise,2021-10-03T00:00:00.000Z,132,label_1
Set,2021-10-04T00:00:00.000Z,908,
Rise,2021-10-04T00:00:00.000Z,200,
Set,2021-10-05T00:00:00.000Z,892,
Rise,2021-10-05T00:00:00.000Z,206,
Set,2021-10-06T00:00:00.000Z,896,
Rise,2021-10-06T00:00:00.000Z,166,label_1
Set,2021-10-07T00:00:00.000Z,898,
Rise,2021-10-07T00:00:00.000Z,202,
Set,2021-10-08T00:00:00.000Z,892,
Rise,2021-10-08T00:00:00.000Z,132,label_1
Set,2021-10-09T00:00:00.000Z,912,label_1
Rise,2021-10-09T00:00:00.000Z,192,
Set,2021-10-10T00:00:00.000Z,892,
Rise,2021-10-10T00:00:00.000Z,152,label_1
Set,2021-10-11T00:00:00.000Z,926,label_1
Rise,2021-10-11T00:00:00.000Z,202,
Set,2021-10-12T00:00:00.000Z,894,
Rise,2021-10-12T00:00:00.000Z,170,label_1
Set,2021-10-13T00:00:00.000Z,912,label_1
Rise,2021-10-13T00:00:00.000Z,204,
Set,2021-10-14T00:00:00.000Z,894,
Rise,2021-10-14T00:00:00.000Z,220,
Set,2021-10-15T00:00:00.000Z,900,
Rise,2021-10-15T00:00:00.000Z,204,
Set,2021-10-16T00:00:00.000Z,900,
Rise,2021-10-16T00:00:00.000Z,158,label_1
Set,2021-10-17T00:00:00.000Z,894,
Rise,2021-10-17T00:00:00.000Z,162,label_1
Set,2021-10-18T00:00:00.000Z,904,
Rise,2021-10-18T00:00:00.000Z,166,label_1
Set,2021-10-19T00:00:00.000Z,888,
Rise,2021-10-19T00:00:00.000Z,150,label_1
Set,2021-10-20T00:00:00.000Z,892,
Rise,2021-10-20T00:00:00.000Z,194,
Set,2021-10-21T00:00:00.000Z,894,
Rise,2021-10-21T00:00:00.000Z,190,
Set,2021-10-22T00:00:00.000Z,898,
Rise,2021-10-22T00:00:00.000Z,144,label_1
Set,2021-10-23T00:00:00.000Z,898,
Rise,2021-10-23T00:00:00.000Z,202,
Set,2021-10-24T00:00:00.000Z,886,
