"tag_id","ring_number","scientific_name","tag_comments","manufacturer","model","firmware","weight","attachment_type","readout_method"
"24PZ","BB10294","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","GDL3pam_V2.5.1",1.5599999,"leg harness|material:cord|attachement:tubes",NA
"24RT","BB10299","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","GDL3pam_V2.5.1",1.55,"leg harness|material:cord|attachement:tubes",NA
"24RU","BB6502","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","GDL3pam_V2.5.1",1.58,"leg harness|material:cord|attachement:tubes",NA
"24SW","AA17171","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","GDL3pam_V2.5.1",1.54,"leg harness|material:cord|attachement:tubes",NA
"24SX","AA17123","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","GDL3pam_V2.5.1",1.5700001,"leg harness|material:cord|attachement:tubes",NA
"24SY","AA13587","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","GDL3pam_V2.5.1",1.54,"leg harness|material:cord|attachement:tubes",NA
"24SZ","AA13998","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","GDL3pam_V2.5.1",1.5599999,"leg harness|material:cord|attachement:tubes",NA
"24TA","AA17012","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","GDL3pam_V2.5.1",1.52,"leg harness|material:cord|attachement:tubes",NA
"24UH","BB6506","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","GDL3pam_V2.5.1",1.5599999,"leg harness|material:cord|attachement:tubes",NA
"24UI","BB10288","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","GDL3pam_V2.5.1",1.5,"leg harness|material:cord|attachement:tubes",NA
"24UK","BB10289","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","GDL3pam_V2.5.1",1.52,"leg harness|material:cord|attachement:tubes",NA
"24UL","BB6503","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","GDL3pam_V2.5.0",1.59,"leg harness|material:cord|attachement:tubes",NA
"24VB","BB10296","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","GDL3pam_V2.5.1",1.52,"leg harness|material:cord|attachement:tubes",NA
"24VC","BB10297","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","GDL3pam_V2.5.1",1.55,"leg harness|material:cord|attachement:tubes",NA
"24YR","BB10285","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","GDL3pam_V2.5.1",1.58,"leg harness|material:cord|attachement:tubes",NA
"25LQ","AA17125","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL2-v2.3","GDL2_V3.6.1",0.75999999,"leg harness|material:cord|attachement:tubes",NA
"27MN","AA17165","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL2-v2.3","GDL2_V3.6.1",0.79000002,"leg harness|material:cord|attachement:tubes",NA
"26WY","BB6472","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.48,"leg harness|material:cord|attachement:tubes",NA
"26WZ","BB6473","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.48,"leg harness|material:cord|attachement:tubes",NA
"26YB","BB6575","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.54,"leg harness|material:cord|attachement:tubes",NA
"26YC","AA17165","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.5599999,"leg harness|material:cord|attachement:tubes",NA
"26YD","AA17314","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.51,"leg harness|material:cord|attachement:tubes",NA
"26YE","AA40370","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.48,"leg harness|material:cord|attachement:tubes",NA
"26YF","BB10297","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.49,"leg harness|material:cord|attachement:tubes",NA
"27LC","AA17162","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL2-v2.3","GDL2_V3.6.1",0.80000001,"leg harness|material:cord|attachement:tubes",NA
"27LE","AA17122","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL2-v2.3","GDL2_V3.6.1",0.77999997,"leg harness|material:cord|attachement:tubes",NA
"27LF","AA17121","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL2-v2.3","GDL2_V3.6.1",0.75999999,"leg harness|material:cord|attachement:tubes",NA
"27LH","AA17126","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL2-v2.3","GDL2_V3.6.1",0.80000001,"leg harness|material:cord|attachement:tubes",NA
"27MK","AA17175","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL2-v2.3","GDL2_V3.6.1",0.77999997,"leg harness|material:cord|attachement:tubes",NA
"27ML","AA13726","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL2-v2.3","GDL2_V3.6.1",0.72000003,"leg harness|material:cord|attachement:tubes",NA
"27MM","AA13813","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL2-v2.3","GDL2_V3.6.1",0.77999997,"leg harness|material:cord|attachement:tubes",NA
"27MO","AA17158","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL2-v2.3","GDL2_V3.6.1",0.75,"leg harness|material:cord|attachement:tubes",NA
"28AA","BB6573","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.49,"leg harness|material:cord|attachement:tubes",NA
"28AB","BB6556","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.52,"leg harness|material:cord|attachement:tubes",NA
