series,timestamp,value,label
Rise,2021-06-11T03:20:00.000Z,360,1
Set,2021-06-11T15:15:00.000Z,1075,1
Rise,2021-06-12T03:20:00.000Z,360,1
Set,2021-06-12T15:20:00.000Z,1080,1
Rise,2021-06-13T03:30:00.000Z,370,1
Set,2021-06-13T15:10:00.000Z,1070,1
Rise,2021-06-14T03:40:00.000Z,380,1
Set,2021-06-14T15:05:00.000Z,1065,discard
Rise,2021-06-15T03:10:00.000Z,350,1
Set,2021-06-15T15:05:00.000Z,1065,discard
Rise,2021-06-16T03:25:00.000Z,365,1
Set,2021-06-16T15:15:00.000Z,1075,1
Rise,2021-06-17T03:35:00.000Z,375,1
Set,2021-06-17T15:15:00.000Z,1075,1
Rise,2021-06-18T03:35:00.000Z,375,1
Set,2021-06-18T15:20:00.000Z,1080,1
Rise,2021-06-19T03:30:00.000Z,370,1
Set,2021-06-19T15:15:00.000Z,1075,1
Rise,2021-06-20T03:25:00.000Z,365,1
Set,2021-06-20T15:20:00.000Z,1080,1
Rise,2021-06-21T03:35:00.000Z,375,1
Set,2021-06-21T15:05:00.000Z,1065,discard
Rise,2021-06-22T03:45:00.000Z,385,1
Set,2021-06-22T15:05:00.000Z,1065,discard
Rise,2021-06-23T03:50:00.000Z,390,1
Set,2021-06-23T15:10:00.000Z,1070,1
Rise,2021-06-24T03:30:00.000Z,370,1
Set,2021-06-24T15:25:00.000Z,1085,1
Rise,2021-06-25T03:35:00.000Z,375,1
Set,2021-06-25T15:00:00.000Z,1060,discard
Rise,2021-06-26T03:25:00.000Z,365,1
Set,2021-06-26T15:10:00.000Z,1070,1
Rise,2021-06-27T03:35:00.000Z,375,1
Set,2021-06-27T15:00:00.000Z,1060,discard
Rise,2021-06-28T03:30:00.000Z,370,1
Set,2021-06-28T15:25:00.000Z,1085,1
Rise,2021-06-29T03:35:00.000Z,375,1
Set,2021-06-29T15:20:00.000Z,1080,1
Rise,2021-06-30T03:35:00.000Z,375,1
Set,2021-06-30T15:20:00.000Z,1080,1
Rise,2021-07-01T03:30:00.000Z,370,1
Set,2021-07-01T15:10:00.000Z,1070,1
Rise,2021-07-02T03:40:00.000Z,380,1
Set,2021-07-02T15:10:00.000Z,1070,1
Rise,2021-07-03T03:25:00.000Z,365,1
Set,2021-07-03T15:20:00.000Z,1080,1
Rise,2021-07-04T03:40:00.000Z,380,1
Set,2021-07-04T15:15:00.000Z,1075,1
Rise,2021-07-05T03:40:00.000Z,380,1
Set,2021-07-05T15:00:00.000Z,1060,discard
Rise,2021-07-06T03:40:00.000Z,380,1
Set,2021-07-06T15:05:00.000Z,1065,discard
Rise,2021-07-07T03:15:00.000Z,355,1
Set,2021-07-07T15:10:00.000Z,1070,1
Rise,2021-07-08T03:50:00.000Z,390,1
Set,2021-07-08T15:05:00.000Z,1065,discard
Rise,2021-07-09T03:35:00.000Z,375,1
Set,2021-07-09T15:10:00.000Z,1070,1
Rise,2021-07-10T03:35:00.000Z,375,1
Set,2021-07-10T15:15:00.000Z,1075,1
Rise,2021-07-11T03:30:00.000Z,370,1
Set,2021-07-11T14:50:00.000Z,1050,discard
Rise,2021-07-12T03:45:00.000Z,385,1
Set,2021-07-12T14:50:00.000Z,1050,discard
Rise,2021-07-13T04:05:00.000Z,405,discard
Set,2021-07-13T15:10:00.000Z,1070,1
Rise,2021-07-14T03:35:00.000Z,375,1
Set,2021-07-14T15:10:00.000Z,1070,1
Rise,2021-07-15T03:45:00.000Z,385,1
Set,2021-07-15T15:20:00.000Z,1080,1
Rise,2021-07-16T03:50:00.000Z,390,1
Set,2021-07-16T15:00:00.000Z,1060,discard
Rise,2021-07-17T03:30:00.000Z,370,1
Set,2021-07-17T15:10:00.000Z,1070,1
Rise,2021-07-18T03:30:00.000Z,370,1
Set,2021-07-18T15:15:00.000Z,1075,1
Rise,2021-07-19T03:35:00.000Z,375,1
Set,2021-07-19T15:10:00.000Z,1070,1
Rise,2021-07-20T03:40:00.000Z,380,1
Set,2021-07-20T15:00:00.000Z,1060,discard
Rise,2021-07-21T03:45:00.000Z,385,1
Set,2021-07-21T15:15:00.000Z,1075,1
Rise,2021-07-22T03:45:00.000Z,385,1
Set,2021-07-22T15:10:00.000Z,1070,1
Rise,2021-07-23T03:10:00.000Z,350,1
Set,2021-07-23T15:25:00.000Z,1085,1
Rise,2021-07-24T03:50:00.000Z,390,1
Set,2021-07-24T15:30:00.000Z,1090,1
Rise,2021-07-25T03:40:00.000Z,380,1
Set,2021-07-25T15:20:00.000Z,1080,1
Rise,2021-07-26T03:25:00.000Z,365,1
Set,2021-07-26T15:15:00.000Z,1075,1
Rise,2021-07-27T03:20:00.000Z,360,1
Set,2021-07-27T15:15:00.000Z,1075,1
Rise,2021-07-28T03:35:00.000Z,375,1
Set,2021-07-28T15:25:00.000Z,1085,1
Rise,2021-07-29T03:25:00.000Z,365,1
Set,2021-07-29T15:20:00.000Z,1080,1
Rise,2021-07-30T04:05:00.000Z,405,discard
Set,2021-07-30T15:15:00.000Z,1075,1
Rise,2021-07-31T03:35:00.000Z,375,1
Set,2021-07-31T15:10:00.000Z,1070,1
Rise,2021-08-01T03:30:00.000Z,370,1
Set,2021-08-01T15:10:00.000Z,1070,1
Rise,2021-08-02T03:35:00.000Z,375,1
Set,2021-08-02T15:15:00.000Z,1075,1
Rise,2021-08-03T03:30:00.000Z,370,1
Set,2021-08-03T15:30:00.000Z,1090,1
Rise,2021-08-04T03:40:00.000Z,380,1
Set,2021-08-04T15:15:00.000Z,1075,1
Rise,2021-08-05T03:40:00.000Z,380,1
Set,2021-08-05T15:20:00.000Z,1080,1
Rise,2021-08-06T03:40:00.000Z,380,1
Set,2021-08-06T15:15:00.000Z,1075,1
Rise,2021-08-07T03:25:00.000Z,365,1
Set,2021-08-07T15:20:00.000Z,1080,1
Rise,2021-08-08T03:20:00.000Z,360,1
Set,2021-08-08T15:15:00.000Z,1075,1
Rise,2021-08-09T03:35:00.000Z,375,1
Set,2021-08-09T15:10:00.000Z,1070,1
Rise,2021-08-10T03:35:00.000Z,375,1
Set,2021-08-10T15:20:00.000Z,1080,1
Rise,2021-08-11T03:50:00.000Z,390,1
Set,2021-08-11T15:10:00.000Z,1070,1
Rise,2021-08-12T03:20:00.000Z,360,1
Set,2021-08-12T15:25:00.000Z,1085,1
Rise,2021-08-13T03:30:00.000Z,370,1
Set,2021-08-13T15:10:00.000Z,1070,1
Rise,2021-08-14T03:45:00.000Z,385,1
Set,2021-08-14T15:10:00.000Z,1070,1
Rise,2021-08-15T03:30:00.000Z,370,1
Set,2021-08-15T15:25:00.000Z,1085,1
Rise,2021-08-16T03:35:00.000Z,375,1
Set,2021-08-16T15:15:00.000Z,1075,1
Rise,2021-08-17T03:40:00.000Z,380,1
Set,2021-08-17T15:15:00.000Z,1075,1
Rise,2021-08-18T03:30:00.000Z,370,1
Set,2021-08-18T15:15:00.000Z,1075,1
Rise,2021-08-19T03:30:00.000Z,370,1
Set,2021-08-19T15:20:00.000Z,1080,1
Rise,2021-08-20T03:45:00.000Z,385,1
Set,2021-08-20T15:00:00.000Z,1060,discard
Rise,2021-08-21T03:30:00.000Z,370,1
Set,2021-08-21T14:55:00.000Z,1055,discard
Rise,2021-08-22T03:35:00.000Z,375,1
Set,2021-08-22T15:05:00.000Z,1065,1
Rise,2021-08-23T03:20:00.000Z,360,1
Set,2021-08-23T15:10:00.000Z,1070,1
Rise,2021-08-24T03:20:00.000Z,360,1
Set,2021-08-24T15:05:00.000Z,1065,1
Rise,2021-08-25T03:20:00.000Z,360,1
Set,2021-08-25T15:15:00.000Z,1075,1
Rise,2021-08-26T03:20:00.000Z,360,1
Set,2021-08-26T15:20:00.000Z,1080,1
Rise,2021-08-27T03:20:00.000Z,360,1
Set,2021-08-27T15:10:00.000Z,1070,1
Rise,2021-08-28T03:25:00.000Z,365,1
Set,2021-08-28T15:10:00.000Z,1070,1
Rise,2021-08-29T03:20:00.000Z,360,1
Set,2021-08-29T15:05:00.000Z,1065,1
Rise,2021-08-30T03:20:00.000Z,360,1
Set,2021-08-30T15:10:00.000Z,1070,1
Rise,2021-08-31T03:30:00.000Z,370,1
Set,2021-08-31T15:10:00.000Z,1070,1
Rise,2021-09-01T03:30:00.000Z,370,1
Set,2021-09-01T15:10:00.000Z,1070,1
Rise,2021-09-02T03:25:00.000Z,365,1
Set,2021-09-02T15:10:00.000Z,1070,1
Rise,2021-09-03T03:20:00.000Z,360,1
Set,2021-09-03T15:15:00.000Z,1075,1
Rise,2021-09-04T03:30:00.000Z,370,1
Set,2021-09-04T15:15:00.000Z,1075,1
Rise,2021-09-05T03:40:00.000Z,380,1
Set,2021-09-05T15:10:00.000Z,1070,1
Rise,2021-09-06T03:30:00.000Z,370,1
Set,2021-09-06T15:15:00.000Z,1075,1
Rise,2021-09-07T03:40:00.000Z,380,1
Set,2021-09-07T15:20:00.000Z,1080,1
Rise,2021-09-08T03:35:00.000Z,375,1
Set,2021-09-08T15:05:00.000Z,1065,1
Rise,2021-09-09T03:40:00.000Z,380,1
Set,2021-09-09T15:10:00.000Z,1070,1
Rise,2021-09-10T03:30:00.000Z,370,1
Set,2021-09-10T15:05:00.000Z,1065,1
Rise,2021-09-11T03:20:00.000Z,360,1
Set,2021-09-11T15:10:00.000Z,1070,1
Rise,2021-09-12T03:35:00.000Z,375,1
Set,2021-09-12T15:10:00.000Z,1070,1
Rise,2021-09-13T03:20:00.000Z,360,1
Set,2021-09-13T15:00:00.000Z,1060,discard
Rise,2021-09-14T03:15:00.000Z,355,1
Set,2021-09-14T15:05:00.000Z,1065,1
Rise,2021-09-15T03:20:00.000Z,360,1
Set,2021-09-15T15:10:00.000Z,1070,1
Rise,2021-09-16T03:15:00.000Z,355,1
Set,2021-09-16T15:20:00.000Z,1080,1
Rise,2021-09-17T03:15:00.000Z,355,1
Set,2021-09-17T15:10:00.000Z,1070,1
Rise,2021-09-18T03:20:00.000Z,360,1
Set,2021-09-18T15:05:00.000Z,1065,1
Rise,2021-09-19T03:15:00.000Z,355,1
Set,2021-09-19T15:10:00.000Z,1070,1
Rise,2021-09-20T03:15:00.000Z,355,1
Set,2021-09-20T15:15:00.000Z,1075,1
Rise,2021-09-21T03:20:00.000Z,360,1
Set,2021-09-21T14:45:00.000Z,1045,discard
Rise,2021-09-22T03:05:00.000Z,345,1
Set,2021-09-22T14:50:00.000Z,1050,discard
Rise,2021-09-23T03:10:00.000Z,350,1
Set,2021-09-23T15:20:00.000Z,1080,1
Rise,2021-09-24T03:05:00.000Z,345,1
Set,2021-09-24T15:10:00.000Z,1070,1
Rise,2021-09-25T03:10:00.000Z,350,1
Set,2021-09-25T15:15:00.000Z,1075,1
Rise,2021-09-26T03:20:00.000Z,360,1
Set,2021-09-26T15:10:00.000Z,1070,1
Rise,2021-09-27T03:30:00.000Z,370,1
Set,2021-09-27T15:00:00.000Z,1060,discard
Rise,2021-09-28T03:10:00.000Z,350,1
Set,2021-09-28T15:10:00.000Z,1070,1
Rise,2021-09-29T03:15:00.000Z,355,1
Set,2021-09-29T15:00:00.000Z,1060,discard
Rise,2021-09-30T03:10:00.000Z,350,1
Set,2021-09-30T15:20:00.000Z,1080,1
Rise,2021-10-01T03:10:00.000Z,350,1
Set,2021-10-01T15:05:00.000Z,1065,1
Rise,2021-10-02T03:10:00.000Z,350,1
Set,2021-10-02T15:15:00.000Z,1075,1
Rise,2021-10-03T03:25:00.000Z,365,1
Set,2021-10-03T15:10:00.000Z,1070,1
Rise,2021-10-04T03:10:00.000Z,350,1
Set,2021-10-04T15:10:00.000Z,1070,1
Rise,2021-10-05T03:00:00.000Z,340,1
Set,2021-10-05T15:05:00.000Z,1065,1
Rise,2021-10-06T03:15:00.000Z,355,1
Set,2021-10-06T15:10:00.000Z,1070,1
Rise,2021-10-07T03:00:00.000Z,340,1
Set,2021-10-07T15:10:00.000Z,1070,1
Rise,2021-10-08T03:00:00.000Z,340,1
Set,2021-10-08T15:00:00.000Z,1060,discard
Rise,2021-10-09T03:15:00.000Z,355,1
Set,2021-10-09T15:05:00.000Z,1065,1
Rise,2021-10-10T02:40:00.000Z,320,1
Set,2021-10-10T15:15:00.000Z,1075,1
Rise,2021-10-11T02:50:00.000Z,330,1
Set,2021-10-11T15:05:00.000Z,1065,1
Rise,2021-10-12T03:00:00.000Z,340,1
Set,2021-10-12T15:15:00.000Z,1075,1
Rise,2021-10-13T03:10:00.000Z,350,1
Set,2021-10-13T15:15:00.000Z,1075,1
Rise,2021-10-14T03:00:00.000Z,340,1
Set,2021-10-14T15:10:00.000Z,1070,1
Rise,2021-10-15T03:00:00.000Z,340,1
Set,2021-10-15T15:05:00.000Z,1065,1
Rise,2021-10-16T03:00:00.000Z,340,1
Set,2021-10-16T15:05:00.000Z,1065,1
Rise,2021-10-17T03:00:00.000Z,340,1
Set,2021-10-17T15:10:00.000Z,1070,1
Rise,2021-10-18T03:00:00.000Z,340,1
Set,2021-10-18T15:10:00.000Z,1070,1
Rise,2021-10-19T02:50:00.000Z,330,1
Set,2021-10-19T15:15:00.000Z,1075,1
Rise,2021-10-20T03:05:00.000Z,345,1
Set,2021-10-20T15:00:00.000Z,1060,discard
Rise,2021-10-21T03:00:00.000Z,340,1
Set,2021-10-21T14:55:00.000Z,1055,discard
Rise,2021-10-22T03:05:00.000Z,345,1
Set,2021-10-22T15:05:00.000Z,1065,1
Rise,2021-10-23T03:00:00.000Z,340,1
Set,2021-10-23T15:10:00.000Z,1070,1
Rise,2021-10-24T03:15:00.000Z,355,1
Set,2021-10-24T15:00:00.000Z,1060,discard
Rise,2021-10-25T03:00:00.000Z,340,1
Set,2021-10-25T14:55:00.000Z,1055,discard
Rise,2021-10-26T03:00:00.000Z,340,1
Set,2021-10-26T15:05:00.000Z,1065,1
Rise,2021-10-27T03:00:00.000Z,340,1
Set,2021-10-27T15:10:00.000Z,1070,1
Rise,2021-10-28T03:05:00.000Z,345,1
Set,2021-10-28T15:10:00.000Z,1070,1
Rise,2021-10-29T02:55:00.000Z,335,1
Set,2021-10-29T14:55:00.000Z,1055,discard
Rise,2021-10-30T03:00:00.000Z,340,1
Set,2021-10-30T15:00:00.000Z,1060,discard
Rise,2021-10-31T03:20:00.000Z,360,discard
Set,2021-10-31T15:15:00.000Z,1075,2
Rise,2021-11-01T03:00:00.000Z,340,3
Set,2021-11-01T15:15:00.000Z,1075,3
Rise,2021-11-02T02:45:00.000Z,325,4
Set,2021-11-02T15:25:00.000Z,1085,4
Rise,2021-11-03T02:40:00.000Z,320,5
Set,2021-11-03T15:25:00.000Z,1085,5
Rise,2021-11-04T02:45:00.000Z,325,5
Set,2021-11-04T15:15:00.000Z,1075,5
Rise,2021-11-05T02:40:00.000Z,320,5
Set,2021-11-05T15:30:00.000Z,1090,5
Rise,2021-11-06T02:40:00.000Z,320,5
Set,2021-11-06T15:25:00.000Z,1085,5
Rise,2021-11-07T02:40:00.000Z,320,5
Set,2021-11-07T15:25:00.000Z,1085,5
Rise,2021-11-08T02:45:00.000Z,325,5
Set,2021-11-08T15:25:00.000Z,1085,5
Rise,2021-11-09T02:50:00.000Z,330,5
Set,2021-11-09T15:20:00.000Z,1080,5
Rise,2021-11-10T02:35:00.000Z,315,5
Set,2021-11-10T15:25:00.000Z,1085,5
Rise,2021-11-11T02:40:00.000Z,320,6
Set,2021-11-11T15:25:00.000Z,1085,6
Rise,2021-11-12T02:40:00.000Z,320,6
Set,2021-11-12T15:10:00.000Z,1070,discard
Rise,2021-11-13T02:30:00.000Z,310,7
Set,2021-11-13T15:25:00.000Z,1085,7
Rise,2021-11-14T02:45:00.000Z,325,7
Set,2021-11-14T15:30:00.000Z,1090,7
Rise,2021-11-15T02:45:00.000Z,325,7
Set,2021-11-15T15:20:00.000Z,1080,7
Rise,2021-11-16T02:35:00.000Z,315,7
Set,2021-11-16T15:25:00.000Z,1085,7
Rise,2021-11-17T02:35:00.000Z,315,7
Set,2021-11-17T15:30:00.000Z,1090,7
Rise,2021-11-18T02:40:00.000Z,320,7
Set,2021-11-18T15:30:00.000Z,1090,7
Rise,2021-11-19T02:35:00.000Z,315,7
Set,2021-11-19T15:30:00.000Z,1090,7
Rise,2021-11-20T02:40:00.000Z,320,7
Set,2021-11-20T15:35:00.000Z,1095,7
Rise,2021-11-21T02:50:00.000Z,330,7
Set,2021-11-21T15:35:00.000Z,1095,7
Rise,2021-11-22T02:45:00.000Z,325,7
Set,2021-11-22T15:35:00.000Z,1095,7
Rise,2021-11-23T02:40:00.000Z,320,7
Set,2021-11-23T15:30:00.000Z,1090,7
Rise,2021-11-24T02:40:00.000Z,320,7
Set,2021-11-24T15:35:00.000Z,1095,7
Rise,2021-11-25T02:45:00.000Z,325,7
Set,2021-11-25T15:35:00.000Z,1095,7
Rise,2021-11-26T02:40:00.000Z,320,7
Set,2021-11-26T15:20:00.000Z,1080,discard
Rise,2021-11-27T02:40:00.000Z,320,7
Set,2021-11-27T15:35:00.000Z,1095,7
Rise,2021-11-28T02:45:00.000Z,325,7
Set,2021-11-28T15:35:00.000Z,1095,7
Rise,2021-11-29T02:35:00.000Z,315,7
Set,2021-11-29T15:35:00.000Z,1095,7
Rise,2021-11-30T02:40:00.000Z,320,7
Set,2021-11-30T15:35:00.000Z,1095,7
Rise,2021-12-01T02:40:00.000Z,320,7
Set,2021-12-01T15:30:00.000Z,1090,7
Rise,2021-12-02T02:35:00.000Z,315,7
Set,2021-12-02T15:40:00.000Z,1100,7
Rise,2021-12-03T03:00:00.000Z,340,discard
Set,2021-12-03T15:30:00.000Z,1090,7
Rise,2021-12-04T02:35:00.000Z,315,7
Set,2021-12-04T15:35:00.000Z,1095,7
Rise,2021-12-05T03:10:00.000Z,350,discard
