"series","timestamp","value","label"
"Rise","2021-10-01T02:55:00Z",335,"1"
"Set","2021-10-01T15:20:00Z",1080,"1"
"Rise","2021-10-02T02:50:00Z",330,"1"
"Set","2021-10-02T15:20:00Z",1080,"1"
"Rise","2021-10-03T02:45:00Z",325,"1"
"Set","2021-10-03T15:20:00Z",1080,"1"
"Rise","2021-10-04T02:55:00Z",335,"1"
"Set","2021-10-04T15:20:00Z",1080,"1"
"Rise","2021-10-05T02:50:00Z",330,"1"
"Set","2021-10-05T15:20:00Z",1080,"1"
"Rise","2021-10-06T03:00:00Z",340,"1"
"Set","2021-10-06T15:20:00Z",1080,"1"
"Rise","2021-10-07T03:00:00Z",340,"1"
"Set","2021-10-07T15:20:00Z",1080,"1"
"Rise","2021-10-08T02:50:00Z",330,"1"
"Set","2021-10-08T15:25:00Z",1085,"1"
"Rise","2021-10-09T03:00:00Z",340,"1"
"Set","2021-10-09T15:20:00Z",1080,"1"
"Rise","2021-10-10T03:00:00Z",340,"1"
"Set","2021-10-10T15:20:00Z",1080,"1"
"Rise","2021-10-11T02:55:00Z",335,"1"
"Set","2021-10-11T15:05:00Z",1065,"1"
"Rise","2021-10-12T02:45:00Z",325,"1"
"Set","2021-10-12T15:10:00Z",1070,"1"
"Rise","2021-10-13T02:55:00Z",335,"1"
"Set","2021-10-13T15:15:00Z",1075,"1"
"Rise","2021-10-14T02:55:00Z",335,"1"
"Set","2021-10-14T15:20:00Z",1080,"1"
"Rise","2021-10-15T02:55:00Z",335,"1"
"Set","2021-10-15T15:15:00Z",1075,"1"
"Rise","2021-10-16T02:55:00Z",335,"1"
"Set","2021-10-16T15:20:00Z",1080,"1"
"Rise","2021-10-17T02:40:00Z",320,"1"
"Set","2021-10-17T15:15:00Z",1075,"1"
"Rise","2021-10-18T02:50:00Z",330,"1"
"Set","2021-10-18T15:15:00Z",1075,"1"
"Rise","2021-10-19T02:50:00Z",330,"1"
"Set","2021-10-19T15:20:00Z",1080,"1"
"Rise","2021-10-20T02:50:00Z",330,"1"
"Set","2021-10-20T15:15:00Z",1075,"1"
"Rise","2021-10-21T02:55:00Z",335,"1"
"Set","2021-10-21T15:20:00Z",1080,"1"
"Rise","2021-10-22T02:40:00Z",320,"1"
"Set","2021-10-22T15:20:00Z",1080,"1"
"Rise","2021-10-23T02:50:00Z",330,"1"
"Set","2021-10-23T15:15:00Z",1075,"1"
"Rise","2021-10-24T02:45:00Z",325,"1"
"Set","2021-10-24T15:15:00Z",1075,"1"
"Rise","2021-10-25T02:50:00Z",330,"1"
"Set","2021-10-25T15:15:00Z",1075,"1"
"Rise","2021-10-26T02:50:00Z",330,"1"
"Set","2021-10-26T15:15:00Z",1075,"1"
"Rise","2021-10-27T02:40:00Z",320,"1"
"Set","2021-10-27T15:20:00Z",1080,"1"
"Rise","2021-10-28T02:40:00Z",320,"1"
"Set","2021-10-28T15:20:00Z",1080,"1"
"Rise","2021-10-29T02:40:00Z",320,"1"
"Set","2021-10-29T15:15:00Z",1075,"1"
"Rise","2021-10-30T02:50:00Z",330,"1"
"Set","2021-10-30T15:15:00Z",1075,"1"
"Rise","2021-10-31T02:35:00Z",315,"1"
"Set","2021-10-31T15:15:00Z",1075,"1"
"Rise","2021-11-01T02:50:00Z",330,"1"
"Set","2021-11-01T15:20:00Z",1080,"1"
"Rise","2021-11-02T02:45:00Z",325,"1"
"Set","2021-11-02T15:05:00Z",1065,"1"
"Rise","2021-11-03T02:50:00Z",330,"1"
"Set","2021-11-03T15:20:00Z",1080,"1"
"Rise","2021-11-04T02:50:00Z",330,"1"
"Set","2021-11-04T15:20:00Z",1080,"1"
"Rise","2021-11-05T02:45:00Z",325,"1"
"Set","2021-11-05T15:15:00Z",1075,"1"
"Rise","2021-11-06T02:50:00Z",330,"1"
"Set","2021-11-06T15:20:00Z",1080,"1"
"Rise","2021-11-07T02:45:00Z",325,"2"
"Set","2021-11-07T15:25:00Z",1085,"2"
"Rise","2021-11-08T02:40:00Z",320,"3"
"Set","2021-11-08T15:25:00Z",1085,"3"
"Rise","2021-11-09T02:45:00Z",325,"4"
"Set","2021-11-09T15:25:00Z",1085,"4"
"Rise","2021-11-10T02:45:00Z",325,"5"
"Set","2021-11-10T15:35:00Z",1095,"5"
"Rise","2021-11-11T02:45:00Z",325,"5"
"Set","2021-11-11T15:35:00Z",1095,"5"
"Rise","2021-11-12T02:40:00Z",320,"5"
"Set","2021-11-12T15:35:00Z",1095,"5"
"Rise","2021-11-13T02:50:00Z",330,"5"
"Set","2021-11-13T15:25:00Z",1085,"5"
"Rise","2021-11-14T02:45:00Z",325,"5"
"Set","2021-11-14T15:30:00Z",1090,"5"
"Rise","2021-11-15T02:50:00Z",330,"5"
"Set","2021-11-15T15:35:00Z",1095,"5"
"Rise","2021-11-16T02:40:00Z",320,"5"
"Set","2021-11-16T15:40:00Z",1100,"5"
"Rise","2021-11-17T02:40:00Z",320,"5"
"Set","2021-11-17T15:35:00Z",1095,"5"
"Rise","2021-11-18T02:45:00Z",325,"5"
"Set","2021-11-18T15:35:00Z",1095,"5"
"Rise","2021-11-19T02:55:00Z",335,"5"
"Set","2021-11-19T15:30:00Z",1090,"5"
"Rise","2021-11-20T02:50:00Z",330,"5"
"Set","2021-11-20T15:30:00Z",1090,"5"
"Rise","2021-11-21T02:50:00Z",330,"5"
"Set","2021-11-21T15:40:00Z",1100,"5"
"Rise","2021-11-22T02:45:00Z",325,"5"
"Set","2021-11-22T15:35:00Z",1095,"5"
"Rise","2021-11-23T02:45:00Z",325,"5"
"Set","2021-11-23T15:30:00Z",1090,"5"
"Rise","2021-11-24T02:50:00Z",330,"5"
"Set","2021-11-24T15:30:00Z",1090,"5"
"Rise","2021-11-25T02:45:00Z",325,"5"
"Set","2021-11-25T15:35:00Z",1095,"5"
"Rise","2021-11-26T02:50:00Z",330,"5"
"Set","2021-11-26T15:35:00Z",1095,"5"
"Rise","2021-11-27T02:40:00Z",320,"5"
"Set","2021-11-27T15:40:00Z",1100,"5"
"Rise","2021-11-28T02:45:00Z",325,"5"
"Set","2021-11-28T15:35:00Z",1095,"5"
"Rise","2021-11-29T02:40:00Z",320,"5"
"Set","2021-11-29T15:30:00Z",1090,"5"
"Rise","2021-11-30T02:45:00Z",325,"5"
"Set","2021-11-30T15:40:00Z",1100,"5"
"Rise","2021-12-01T02:50:00Z",330,"7"
"Set","2021-12-01T15:45:00Z",1105,"7"
"Rise","2021-12-02T02:35:00Z",315,"8"
"Set","2021-12-02T15:50:00Z",1110,"8"
"Rise","2021-12-03T02:40:00Z",320,"8"
"Set","2021-12-03T15:45:00Z",1105,"8"
"Rise","2021-12-04T02:45:00Z",325,"8"
"Set","2021-12-04T15:50:00Z",1110,"8"
"Rise","2021-12-05T02:45:00Z",325,"8"
"Set","2021-12-05T15:45:00Z",1105,"8"
"Rise","2021-12-06T02:45:00Z",325,"8"
"Set","2021-12-06T15:50:00Z",1110,"8"
"Rise","2021-12-07T02:45:00Z",325,"9"
"Set","2021-12-07T15:55:00Z",1115,"9"
"Rise","2021-12-08T02:45:00Z",325,"9"
"Set","2021-12-08T15:55:00Z",1115,"9"
"Rise","2021-12-09T02:35:00Z",315,"10"
"Set","2021-12-09T15:55:00Z",1115,"10"
"Rise","2021-12-10T02:35:00Z",315,"10"
"Set","2021-12-10T15:55:00Z",1115,"10"
"Rise","2021-12-11T02:35:00Z",315,"10"
"Set","2021-12-11T15:50:00Z",1110,"10"
"Rise","2021-12-12T02:35:00Z",315,"10"
"Set","2021-12-12T15:55:00Z",1115,"10"
"Rise","2021-12-13T02:35:00Z",315,"10"
"Set","2021-12-13T15:55:00Z",1115,"10"
"Rise","2021-12-14T02:35:00Z",315,"10"
"Set","2021-12-14T16:00:00Z",1120,"10"
"Rise","2021-12-15T02:35:00Z",315,"10"
"Set","2021-12-15T15:55:00Z",1115,"10"
"Rise","2021-12-16T02:35:00Z",315,"10"
"Set","2021-12-16T15:55:00Z",1115,"10"
"Rise","2021-12-17T02:40:00Z",320,"10"
"Set","2021-12-17T15:55:00Z",1115,"10"
"Rise","2021-12-18T02:35:00Z",315,"10"
"Set","2021-12-18T16:00:00Z",1120,"10"
"Rise","2021-12-19T02:40:00Z",320,"10"
"Set","2021-12-19T16:05:00Z",1125,"10"
"Rise","2021-12-20T02:45:00Z",325,"10"
"Set","2021-12-20T16:00:00Z",1120,"10"
"Rise","2021-12-21T02:40:00Z",320,"10"
"Set","2021-12-21T16:05:00Z",1125,"10"
"Rise","2021-12-22T02:35:00Z",315,"10"
"Set","2021-12-22T16:00:00Z",1120,"10"
"Rise","2021-12-23T02:40:00Z",320,"10"
"Set","2021-12-23T15:55:00Z",1115,"10"
"Rise","2021-12-24T02:40:00Z",320,"10"
"Set","2021-12-24T16:00:00Z",1120,"10"
"Rise","2021-12-25T02:40:00Z",320,"10"
"Set","2021-12-25T16:05:00Z",1125,"10"
"Rise","2021-12-26T02:45:00Z",325,"10"
"Set","2021-12-26T16:05:00Z",1125,"10"
"Rise","2021-12-27T02:40:00Z",320,"10"
"Set","2021-12-27T16:05:00Z",1125,"10"
"Rise","2021-12-28T02:45:00Z",325,"10"
"Set","2021-12-28T16:00:00Z",1120,"10"
"Rise","2021-12-29T02:45:00Z",325,"10"
"Set","2021-12-29T16:05:00Z",1125,"10"
"Rise","2021-12-30T02:50:00Z",330,"10"
"Set","2021-12-30T16:00:00Z",1120,"10"
"Rise","2021-12-31T02:45:00Z",325,"10"
"Set","2021-12-31T16:05:00Z",1125,"10"
"Rise","2022-01-01T02:45:00Z",325,"10"
"Set","2022-01-01T16:05:00Z",1125,"10"
"Rise","2022-01-02T02:45:00Z",325,"10"
"Set","2022-01-02T15:55:00Z",1115,"10"
"Rise","2022-01-03T02:45:00Z",325,"10"
"Set","2022-01-03T16:05:00Z",1125,"10"
"Rise","2022-01-04T02:45:00Z",325,"10"
"Set","2022-01-04T16:05:00Z",1125,"10"
"Rise","2022-01-05T02:45:00Z",325,"10"
"Set","2022-01-05T16:05:00Z",1125,"10"
"Rise","2022-01-06T02:50:00Z",330,"10"
"Set","2022-01-06T15:55:00Z",1115,"10"
"Rise","2022-01-07T02:50:00Z",330,"10"
"Set","2022-01-07T15:55:00Z",1115,"10"
"Rise","2022-01-08T02:40:00Z",320,"10"
"Set","2022-01-08T16:05:00Z",1125,"10"
"Rise","2022-01-09T02:50:00Z",330,"10"
"Set","2022-01-09T16:00:00Z",1120,"10"
"Rise","2022-01-10T02:50:00Z",330,"10"
"Set","2022-01-10T16:00:00Z",1120,"10"
"Rise","2022-01-11T02:50:00Z",330,"10"
"Set","2022-01-11T16:05:00Z",1125,"10"
"Rise","2022-01-12T02:55:00Z",335,"10"
"Set","2022-01-12T16:10:00Z",1130,"10"
"Rise","2022-01-13T02:50:00Z",330,"10"
"Set","2022-01-13T16:10:00Z",1130,"10"
"Rise","2022-01-14T02:55:00Z",335,"10"
"Set","2022-01-14T15:55:00Z",1115,"10"
"Rise","2022-01-15T03:00:00Z",340,"10"
"Set","2022-01-15T15:50:00Z",1110,"10"
"Rise","2022-01-16T02:55:00Z",335,"10"
"Set","2022-01-16T15:50:00Z",1110,"10"
"Rise","2022-01-17T03:10:00Z",350,"10"
"Set","2022-01-17T16:05:00Z",1125,"10"
"Rise","2022-01-18T02:55:00Z",335,"10"
"Set","2022-01-18T16:00:00Z",1120,"10"
"Rise","2022-01-19T02:55:00Z",335,"10"
"Set","2022-01-19T15:40:00Z",1100,"10"
"Rise","2022-01-20T02:55:00Z",335,"10"
"Set","2022-01-20T15:40:00Z",1100,"10"
"Rise","2022-01-21T03:05:00Z",345,"10"
"Set","2022-01-21T16:00:00Z",1120,"10"
"Rise","2022-01-22T03:05:00Z",345,"10"
"Set","2022-01-22T15:50:00Z",1110,"10"
"Rise","2022-01-23T02:55:00Z",335,"10"
"Set","2022-01-23T16:10:00Z",1130,"10"
"Rise","2022-01-24T03:05:00Z",345,"10"
"Set","2022-01-24T15:55:00Z",1115,"10"
"Rise","2022-01-25T03:00:00Z",340,"10"
"Set","2022-01-25T15:45:00Z",1105,"10"
"Rise","2022-01-26T02:55:00Z",335,"10"
"Set","2022-01-26T16:05:00Z",1125,"10"
"Rise","2022-01-27T03:05:00Z",345,"10"
"Set","2022-01-27T16:00:00Z",1120,"10"
"Rise","2022-01-28T03:05:00Z",345,"10"
"Set","2022-01-28T16:00:00Z",1120,"10"
"Rise","2022-01-29T03:00:00Z",340,"10"
"Set","2022-01-29T16:05:00Z",1125,"10"
"Rise","2022-01-30T03:00:00Z",340,"10"
"Set","2022-01-30T16:05:00Z",1125,"10"
"Rise","2022-01-31T03:00:00Z",340,"10"
"Set","2022-01-31T16:10:00Z",1130,"10"
"Rise","2022-02-01T03:10:00Z",350,"10"
"Set","2022-02-01T16:00:00Z",1120,"10"
"Rise","2022-02-02T03:00:00Z",340,"10"
"Set","2022-02-02T16:00:00Z",1120,"10"
"Rise","2022-02-03T03:05:00Z",345,"10"
"Set","2022-02-03T16:00:00Z",1120,"10"
"Rise","2022-02-04T03:05:00Z",345,"10"
"Set","2022-02-04T16:00:00Z",1120,"10"
"Rise","2022-02-05T03:05:00Z",345,"10"
"Set","2022-02-05T15:50:00Z",1110,"10"
"Rise","2022-02-06T03:05:00Z",345,"10"
"Set","2022-02-06T16:00:00Z",1120,"10"
"Rise","2022-02-07T03:05:00Z",345,"10"
"Set","2022-02-07T16:00:00Z",1120,"10"
"Rise","2022-02-08T03:10:00Z",350,"10"
"Set","2022-02-08T16:00:00Z",1120,"10"
"Rise","2022-02-09T03:05:00Z",345,"10"
"Set","2022-02-09T16:00:00Z",1120,"10"
"Rise","2022-02-10T03:10:00Z",350,"10"
"Set","2022-02-10T15:55:00Z",1115,"10"
"Rise","2022-02-11T03:05:00Z",345,"10"
"Set","2022-02-11T15:45:00Z",1105,"10"
"Rise","2022-02-12T03:05:00Z",345,"10"
"Set","2022-02-12T15:50:00Z",1110,"10"
"Rise","2022-02-13T03:00:00Z",340,"10"
"Set","2022-02-13T15:55:00Z",1115,"10"
"Rise","2022-02-14T03:05:00Z",345,"10"
"Set","2022-02-14T15:50:00Z",1110,"10"
"Rise","2022-02-15T03:10:00Z",350,"10"
"Set","2022-02-15T16:00:00Z",1120,"10"
"Rise","2022-02-16T03:15:00Z",355,"10"
"Set","2022-02-16T15:55:00Z",1115,"10"
"Rise","2022-02-17T03:10:00Z",350,"10"
"Set","2022-02-17T15:55:00Z",1115,"10"
"Rise","2022-02-18T03:05:00Z",345,"10"
"Set","2022-02-18T15:45:00Z",1105,"10"
"Rise","2022-02-19T03:05:00Z",345,"10"
"Set","2022-02-19T15:55:00Z",1115,"10"
"Rise","2022-02-20T03:10:00Z",350,"10"
"Set","2022-02-20T15:45:00Z",1105,"10"
"Rise","2022-02-21T03:10:00Z",350,"10"
"Set","2022-02-21T15:35:00Z",1095,"10"
"Rise","2022-02-22T03:15:00Z",355,"10"
"Set","2022-02-22T15:55:00Z",1115,"10"
"Rise","2022-02-23T03:10:00Z",350,"10"
"Set","2022-02-23T15:15:00Z",1075,"10"
"Rise","2022-02-24T03:10:00Z",350,"10"
"Set","2022-02-24T15:50:00Z",1110,"10"
"Rise","2022-02-25T03:10:00Z",350,"10"
"Set","2022-02-25T15:55:00Z",1115,"10"
"Rise","2022-02-26T03:10:00Z",350,"10"
"Set","2022-02-26T15:55:00Z",1115,"10"
"Rise","2022-02-27T03:15:00Z",355,"10"
"Set","2022-02-27T15:50:00Z",1110,"10"
"Rise","2022-02-28T03:25:00Z",365,"10"
"Set","2022-02-28T15:55:00Z",1115,"10"
"Rise","2022-03-01T03:10:00Z",350,"10"
"Set","2022-03-01T15:55:00Z",1115,"10"
"Rise","2022-03-02T03:05:00Z",345,"10"
"Set","2022-03-02T15:45:00Z",1105,"10"
"Rise","2022-03-03T03:15:00Z",355,"10"
"Set","2022-03-03T15:45:00Z",1105,"10"
"Rise","2022-03-04T03:15:00Z",355,"10"
"Set","2022-03-04T15:50:00Z",1110,"10"
"Rise","2022-03-05T03:10:00Z",350,"10"
"Set","2022-03-05T15:50:00Z",1110,"10"
"Rise","2022-03-06T03:10:00Z",350,"10"
"Set","2022-03-06T15:50:00Z",1110,"10"
"Rise","2022-03-07T03:15:00Z",355,"10"
"Set","2022-03-07T15:50:00Z",1110,"10"
"Rise","2022-03-08T03:15:00Z",355,"10"
"Set","2022-03-08T15:40:00Z",1100,"10"
"Rise","2022-03-09T03:20:00Z",360,"10"
"Set","2022-03-09T15:45:00Z",1105,"10"
"Rise","2022-03-10T03:20:00Z",360,"10"
"Set","2022-03-10T15:30:00Z",1090,"10"
"Rise","2022-03-11T03:20:00Z",360,"10"
"Set","2022-03-11T15:45:00Z",1105,"10"
"Rise","2022-03-12T03:15:00Z",355,"10"
"Set","2022-03-12T15:40:00Z",1100,"10"
"Rise","2022-03-13T03:15:00Z",355,"10"
"Set","2022-03-13T15:40:00Z",1100,"10"
"Rise","2022-03-14T03:15:00Z",355,"10"
"Set","2022-03-14T15:45:00Z",1105,"10"
"Rise","2022-03-15T03:05:00Z",345,"10"
"Set","2022-03-15T15:40:00Z",1100,"10"
"Rise","2022-03-16T03:10:00Z",350,"10"
"Set","2022-03-16T15:45:00Z",1105,"10"
"Rise","2022-03-17T03:15:00Z",355,"10"
"Set","2022-03-17T15:30:00Z",1090,"10"
"Rise","2022-03-18T03:10:00Z",350,"10"
"Set","2022-03-18T15:45:00Z",1105,"10"
"Rise","2022-03-19T03:25:00Z",365,"10"
"Set","2022-03-19T15:40:00Z",1100,"10"
"Rise","2022-03-20T03:15:00Z",355,"10"
"Set","2022-03-20T15:35:00Z",1095,"10"
"Rise","2022-03-21T03:10:00Z",350,"10"
"Set","2022-03-21T15:40:00Z",1100,"10"
"Rise","2022-03-22T03:15:00Z",355,"10"
"Set","2022-03-22T15:35:00Z",1095,"10"
"Rise","2022-03-23T03:10:00Z",350,"10"
"Set","2022-03-23T15:40:00Z",1100,"10"
"Rise","2022-03-24T03:15:00Z",355,"10"
"Set","2022-03-24T15:30:00Z",1090,"10"
"Rise","2022-03-25T03:15:00Z",355,"10"
"Set","2022-03-25T15:40:00Z",1100,"10"
"Rise","2022-03-26T03:10:00Z",350,"10"
"Set","2022-03-26T15:35:00Z",1095,"10"
"Rise","2022-03-27T03:10:00Z",350,"10"
"Set","2022-03-27T15:35:00Z",1095,"10"
"Rise","2022-03-28T03:15:00Z",355,"10"
"Set","2022-03-28T15:35:00Z",1095,"10"
"Rise","2022-03-29T03:10:00Z",350,"10"
"Set","2022-03-29T15:35:00Z",1095,"10"
"Rise","2022-03-30T03:10:00Z",350,"10"
"Set","2022-03-30T15:25:00Z",1085,"10"
"Rise","2022-03-31T03:10:00Z",350,"10"
"Set","2022-03-31T15:35:00Z",1095,"10"
"Rise","2022-04-01T03:10:00Z",350,"10"
"Set","2022-04-01T15:30:00Z",1090,"10"
"Rise","2022-04-02T03:10:00Z",350,"10"
"Set","2022-04-02T15:30:00Z",1090,"10"
"Rise","2022-04-03T03:10:00Z",350,"10"
"Set","2022-04-03T15:25:00Z",1085,"10"
"Rise","2022-04-04T03:10:00Z",350,"10"
"Set","2022-04-04T15:30:00Z",1090,"10"
"Rise","2022-04-05T03:15:00Z",355,"10"
"Set","2022-04-05T15:25:00Z",1085,"10"
"Rise","2022-04-06T03:15:00Z",355,"10"
"Set","2022-04-06T15:25:00Z",1085,"10"
"Rise","2022-04-07T03:15:00Z",355,"10"
"Set","2022-04-07T15:15:00Z",1075,"10"
"Rise","2022-04-08T03:20:00Z",360,"10"
