"series","timestamp","value","label"
"Rise","2021-07-09T03:10:00Z",355,"1"
"Set","2021-07-09T15:30:00Z",1095,"1"
"Rise","2021-07-10T03:10:00Z",355,"1"
"Set","2021-07-10T15:30:00Z",1095,"1"
"Rise","2021-07-11T03:05:00Z",350,"1"
"Set","2021-07-11T15:30:00Z",1095,"1"
"Rise","2021-07-12T03:20:00Z",365,"1"
"Set","2021-07-12T15:30:00Z",1095,"1"
"Rise","2021-07-13T03:05:00Z",350,"1"
"Set","2021-07-13T15:30:00Z",1095,"1"
"Rise","2021-07-14T03:05:00Z",350,"1"
"Set","2021-07-14T15:25:00Z",1090,"1"
"Rise","2021-07-15T03:10:00Z",355,"1"
"Set","2021-07-15T15:30:00Z",1095,"1"
"Rise","2021-07-16T03:10:00Z",355,"1"
"Set","2021-07-16T15:25:00Z",1090,"1"
"Rise","2021-07-17T03:15:00Z",360,"1"
"Set","2021-07-17T15:20:00Z",1085,"1"
"Rise","2021-07-18T03:10:00Z",355,"1"
"Set","2021-07-18T15:35:00Z",1100,"1"
"Rise","2021-07-19T03:15:00Z",360,"1"
"Set","2021-07-19T15:30:00Z",1095,"1"
"Rise","2021-07-20T03:05:00Z",350,"1"
"Set","2021-07-20T15:30:00Z",1095,"1"
"Rise","2021-07-21T03:20:00Z",365,"1"
"Set","2021-07-21T15:30:00Z",1095,"1"
"Rise","2021-07-22T03:20:00Z",365,"1"
"Set","2021-07-22T15:35:00Z",1100,"1"
"Rise","2021-07-23T03:05:00Z",350,"1"
"Set","2021-07-23T15:15:00Z",1080,"1"
"Rise","2021-07-24T03:10:00Z",355,"1"
"Set","2021-07-24T15:35:00Z",1100,"1"
"Rise","2021-07-25T03:25:00Z",370,"1"
"Set","2021-07-25T15:35:00Z",1100,"1"
"Rise","2021-07-26T03:05:00Z",350,"1"
"Set","2021-07-26T15:15:00Z",1080,"1"
"Rise","2021-07-27T03:25:00Z",370,"1"
"Set","2021-07-27T15:25:00Z",1090,"1"
"Rise","2021-07-28T03:30:00Z",375,"1"
"Set","2021-07-28T15:30:00Z",1095,"1"
"Rise","2021-07-29T03:20:00Z",365,"1"
"Set","2021-07-29T15:30:00Z",1095,"1"
"Rise","2021-07-30T03:20:00Z",365,"1"
"Set","2021-07-30T15:35:00Z",1100,"1"
"Rise","2021-07-31T03:40:00Z",385,"1"
"Set","2021-07-31T15:30:00Z",1095,"1"
"Rise","2021-08-01T03:15:00Z",360,"1"
"Set","2021-08-01T15:20:00Z",1085,"1"
"Rise","2021-08-02T03:05:00Z",350,"1"
"Set","2021-08-02T15:35:00Z",1100,"1"
"Rise","2021-08-03T03:05:00Z",350,"1"
"Set","2021-08-03T15:15:00Z",1080,"1"
"Rise","2021-08-04T03:05:00Z",350,"1"
"Set","2021-08-04T15:35:00Z",1100,"1"
"Rise","2021-08-05T03:20:00Z",365,"1"
"Set","2021-08-05T15:20:00Z",1085,"1"
"Rise","2021-08-06T03:10:00Z",355,"1"
"Set","2021-08-06T15:10:00Z",1075,"1"
"Rise","2021-08-07T03:35:00Z",380,"1"
"Set","2021-08-07T15:20:00Z",1085,"1"
"Rise","2021-08-08T03:05:00Z",350,"1"
"Set","2021-08-08T15:20:00Z",1085,"1"
"Rise","2021-08-09T03:20:00Z",365,"1"
"Set","2021-08-09T15:30:00Z",1095,"1"
"Rise","2021-08-10T03:25:00Z",370,"1"
"Set","2021-08-10T15:30:00Z",1095,"1"
"Rise","2021-08-11T03:10:00Z",355,"1"
"Set","2021-08-11T15:25:00Z",1090,"1"
"Rise","2021-08-12T03:20:00Z",365,"1"
