series,timestamp,value,label
Rise,2021-06-04T03:35:00.000Z,370,1
Set,2021-06-04T15:15:00.000Z,1070,1
Rise,2021-06-05T03:05:00.000Z,340,1
Set,2021-06-05T15:10:00.000Z,1065,1
Rise,2021-06-06T03:40:00.000Z,375,1
Set,2021-06-06T15:15:00.000Z,1070,1
Rise,2021-06-07T03:35:00.000Z,370,1
Set,2021-06-07T15:20:00.000Z,1075,1
Rise,2021-06-08T03:30:00.000Z,365,1
Set,2021-06-08T15:10:00.000Z,1065,1
Rise,2021-06-09T03:40:00.000Z,375,1
Set,2021-06-09T15:05:00.000Z,1060,1
Rise,2021-06-10T03:40:00.000Z,375,1
Set,2021-06-10T15:15:00.000Z,1070,1
Rise,2021-06-11T03:35:00.000Z,370,1
Set,2021-06-11T15:15:00.000Z,1070,1
Rise,2021-06-12T03:50:00.000Z,385,1
Set,2021-06-12T15:25:00.000Z,1080,1
Rise,2021-06-13T03:30:00.000Z,365,1
Set,2021-06-13T15:20:00.000Z,1075,1
Rise,2021-06-14T03:35:00.000Z,370,1
Set,2021-06-14T15:25:00.000Z,1080,1
Rise,2021-06-15T03:30:00.000Z,365,1
Set,2021-06-15T15:30:00.000Z,1085,1
Rise,2021-06-16T03:20:00.000Z,355,1
Set,2021-06-16T15:20:00.000Z,1075,1
Rise,2021-06-17T03:05:00.000Z,340,1
Set,2021-06-17T15:15:00.000Z,1070,1
Rise,2021-06-18T03:15:00.000Z,350,1
Set,2021-06-18T15:20:00.000Z,1075,1
Rise,2021-06-19T03:45:00.000Z,380,1
Set,2021-06-19T15:15:00.000Z,1070,1
Rise,2021-06-20T03:35:00.000Z,370,1
Set,2021-06-20T15:05:00.000Z,1060,1
Rise,2021-06-21T03:15:00.000Z,350,1
Set,2021-06-21T15:05:00.000Z,1060,1
Rise,2021-06-22T04:05:00.000Z,400,1
Set,2021-06-22T15:05:00.000Z,1060,1
Rise,2021-06-23T03:40:00.000Z,375,1
Set,2021-06-23T15:00:00.000Z,1055,1
Rise,2021-06-24T03:05:00.000Z,340,1
Set,2021-06-24T15:10:00.000Z,1065,1
Rise,2021-06-25T03:35:00.000Z,370,1
Set,2021-06-25T14:55:00.000Z,1050,1
Rise,2021-06-26T03:50:00.000Z,385,1
Set,2021-06-26T15:15:00.000Z,1070,1
Rise,2021-06-27T03:15:00.000Z,350,1
Set,2021-06-27T15:15:00.000Z,1070,1
Rise,2021-06-28T03:50:00.000Z,385,1
