"series","timestamp","value","label"
"Rise","2022-07-15T03:22:00Z",364,"1"
"Set","2022-07-15T15:38:00Z",1100,"1"
"Rise","2022-07-16T03:16:00Z",358,"1"
"Set","2022-07-16T15:34:00Z",1096,"1"
"Rise","2022-07-17T03:14:00Z",356,"1"
"Set","2022-07-17T15:44:00Z",1106,"1"
"Rise","2022-07-18T03:12:00Z",354,"1"
"Set","2022-07-18T15:42:00Z",1104,"1"
"Rise","2022-07-19T03:06:00Z",348,"1"
"Set","2022-07-19T15:38:00Z",1100,"1"
"Rise","2022-07-20T03:08:00Z",350,"1"
"Set","2022-07-20T15:38:00Z",1100,"1"
"Rise","2022-07-21T03:10:00Z",352,"1"
"Set","2022-07-21T15:46:00Z",1108,"1"
"Rise","2022-07-22T03:16:00Z",358,"1"
"Set","2022-07-22T15:46:00Z",1108,"1"
"Rise","2022-07-23T03:18:00Z",360,"1"
"Set","2022-07-23T15:46:00Z",1108,"1"
"Rise","2022-07-24T03:20:00Z",362,"1"
"Set","2022-07-24T15:42:00Z",1104,"1"
"Rise","2022-07-25T03:16:00Z",358,"1"
"Set","2022-07-25T15:46:00Z",1108,"1"
"Rise","2022-07-26T03:14:00Z",356,"1"
"Set","2022-07-26T15:42:00Z",1104,"1"
"Rise","2022-07-27T03:10:00Z",352,"1"
"Set","2022-07-27T15:46:00Z",1108,"1"
"Rise","2022-07-28T03:12:00Z",354,"1"
"Set","2022-07-28T15:44:00Z",1106,"1"
"Rise","2022-07-29T03:14:00Z",356,"1"
"Set","2022-07-29T15:44:00Z",1106,"1"
"Rise","2022-07-30T03:22:00Z",364,"1"
"Set","2022-07-30T15:34:00Z",1096,"1"
"Rise","2022-07-31T03:12:00Z",354,"1"
"Set","2022-07-31T15:38:00Z",1100,"1"
"Rise","2022-08-01T03:12:00Z",354,"1"
"Set","2022-08-01T15:34:00Z",1096,"1"
"Rise","2022-08-02T03:12:00Z",354,"1"
"Set","2022-08-02T15:46:00Z",1108,"1"
"Rise","2022-08-03T03:08:00Z",350,"1"
"Set","2022-08-03T15:42:00Z",1104,"1"
"Rise","2022-08-04T03:08:00Z",350,"1"
"Set","2022-08-04T15:36:00Z",1098,"1"
"Rise","2022-08-05T03:10:00Z",352,"1"
"Set","2022-08-05T15:46:00Z",1108,"1"
"Rise","2022-08-06T03:04:00Z",346,"1"
"Set","2022-08-06T15:44:00Z",1106,"1"
"Rise","2022-08-07T03:10:00Z",352,"1"
"Set","2022-08-07T15:44:00Z",1106,"1"
"Rise","2022-08-08T03:06:00Z",348,"1"
"Set","2022-08-08T15:46:00Z",1108,"1"
"Rise","2022-08-09T03:10:00Z",352,"1"
"Set","2022-08-09T15:44:00Z",1106,"1"
"Rise","2022-08-10T03:02:00Z",344,"1"
"Set","2022-08-10T15:50:00Z",1112,"1"
"Rise","2022-08-11T03:10:00Z",352,"1"
"Set","2022-08-11T15:44:00Z",1106,"1"
"Rise","2022-08-12T03:06:00Z",348,"1"
"Set","2022-08-12T15:48:00Z",1110,"1"
"Rise","2022-08-13T03:08:00Z",350,"1"
"Set","2022-08-13T15:42:00Z",1104,"1"
"Rise","2022-08-14T03:10:00Z",352,"1"
"Set","2022-08-14T15:44:00Z",1106,"1"
"Rise","2022-08-15T03:18:00Z",360,"1"
"Set","2022-08-15T15:46:00Z",1108,"1"
"Rise","2022-08-16T03:08:00Z",350,"1"
"Set","2022-08-16T15:40:00Z",1102,"1"
"Rise","2022-08-17T03:08:00Z",350,"1"
"Set","2022-08-17T15:38:00Z",1100,"1"
"Rise","2022-08-18T03:14:00Z",356,"1"
"Set","2022-08-18T15:36:00Z",1098,"1"
"Rise","2022-08-19T03:00:00Z",342,"1"
"Set","2022-08-19T15:48:00Z",1110,"1"
"Rise","2022-08-20T02:56:00Z",338,"1"
"Set","2022-08-20T15:42:00Z",1104,"1"
"Rise","2022-08-21T03:04:00Z",346,"1"
"Set","2022-08-21T15:42:00Z",1104,"1"
"Rise","2022-08-22T03:00:00Z",342,"1"
"Set","2022-08-22T15:48:00Z",1110,"1"
"Rise","2022-08-23T03:06:00Z",348,"1"
"Set","2022-08-23T15:46:00Z",1108,"1"
"Rise","2022-08-24T03:02:00Z",344,"1"
"Set","2022-08-24T15:40:00Z",1102,"1"
"Rise","2022-08-25T03:02:00Z",344,"1"
"Set","2022-08-25T15:34:00Z",1096,"1"
"Rise","2022-08-26T02:52:00Z",334,"1"
