"series","timestamp","value","label"
"Rise","2022-10-29T02:45:00Z",320,"1"
"Set","2022-10-29T15:20:00Z",1075,"1"
"Rise","2022-10-30T02:50:00Z",325,"1"
"Set","2022-10-30T15:10:00Z",1065,"1"
"Rise","2022-10-31T02:50:00Z",325,"1"
"Set","2022-10-31T15:15:00Z",1070,"1"
"Rise","2022-11-01T02:50:00Z",325,"1"
"Set","2022-11-01T15:25:00Z",1080,"1"
"Rise","2022-11-02T02:55:00Z",330,"1"
"Set","2022-11-02T15:15:00Z",1070,"1"
"Rise","2022-11-03T02:45:00Z",320,"1"
"Set","2022-11-03T15:20:00Z",1075,"1"
"Rise","2022-11-04T02:40:00Z",315,"1"
"Set","2022-11-04T15:00:00Z",1055,"1"
"Rise","2022-11-05T02:50:00Z",325,"1"
"Set","2022-11-05T15:20:00Z",1075,"1"
"Rise","2022-11-06T02:45:00Z",320,"1"
"Set","2022-11-06T15:15:00Z",1070,"1"
"Rise","2022-11-07T02:55:00Z",330,"1"
"Set","2022-11-07T15:25:00Z",1080,"1"
"Rise","2022-11-08T03:15:00Z",350,"1"
"Set","2022-11-08T15:05:00Z",1060,"1"
"Rise","2022-11-09T03:00:00Z",335,"1"
"Set","2022-11-09T15:25:00Z",1080,"1"
"Rise","2022-11-10T02:55:00Z",330,"1"
"Set","2022-11-10T15:10:00Z",1065,"1"
"Rise","2022-11-11T02:55:00Z",330,"1"
"Set","2022-11-11T15:00:00Z",1055,"1"
"Rise","2022-11-12T02:50:00Z",325,"2"
"Set","2022-11-12T15:25:00Z",1080,"2"
"Rise","2022-11-13T03:05:00Z",340,"3"
"Set","2022-11-13T15:20:00Z",1075,"3"
"Rise","2022-11-14T02:50:00Z",325,"4"
"Set","2022-11-14T15:20:00Z",1075,"4"
"Rise","2022-11-15T02:55:00Z",330,"4"
"Set","2022-11-15T15:35:00Z",1090,"4"
"Rise","2022-11-16T02:45:00Z",320,"4"
"Set","2022-11-16T15:35:00Z",1090,"4"
"Rise","2022-11-17T02:40:00Z",315,"4"
"Set","2022-11-17T15:40:00Z",1095,"4"
"Rise","2022-11-18T02:45:00Z",320,"4"
"Set","2022-11-18T15:35:00Z",1090,"4"
"Rise","2022-11-19T02:45:00Z",320,"4"
"Set","2022-11-19T15:25:00Z",1080,"4"
"Rise","2022-11-20T02:45:00Z",320,"4"
"Set","2022-11-20T15:25:00Z",1080,"4"
"Rise","2022-11-21T02:45:00Z",320,"4"
"Set","2022-11-21T15:20:00Z",1075,"4"
"Rise","2022-11-22T02:40:00Z",315,"4"
"Set","2022-11-22T15:35:00Z",1090,"4"
"Rise","2022-11-23T02:40:00Z",315,"4"
"Set","2022-11-23T15:30:00Z",1085,"4"
"Rise","2022-11-24T02:45:00Z",320,"4"
"Set","2022-11-24T15:35:00Z",1090,"4"
"Rise","2022-11-25T02:45:00Z",320,"4"
"Set","2022-11-25T15:30:00Z",1085,"4"
"Rise","2022-11-26T02:45:00Z",320,"4"
"Set","2022-11-26T15:40:00Z",1095,"4"
"Rise","2022-11-27T02:40:00Z",315,"4"
"Set","2022-11-27T15:45:00Z",1100,"4"
"Rise","2022-11-28T02:35:00Z",310,"5"
"Set","2022-11-28T15:40:00Z",1095,"5"
"Rise","2022-11-29T02:55:00Z",330,"6"
"Set","2022-11-29T15:40:00Z",1095,"6"
"Rise","2022-11-30T02:30:00Z",305,"7"
"Set","2022-11-30T15:45:00Z",1100,"7"
"Rise","2022-12-01T02:50:00Z",325,"7"
"Set","2022-12-01T15:40:00Z",1095,"7"
"Rise","2022-12-02T02:40:00Z",315,"7"
"Set","2022-12-02T15:40:00Z",1095,"7"
"Rise","2022-12-03T02:45:00Z",320,"7"
"Set","2022-12-03T15:45:00Z",1100,"7"
"Rise","2022-12-04T02:35:00Z",310,"7"
"Set","2022-12-04T15:40:00Z",1095,"7"
"Rise","2022-12-05T02:50:00Z",325,"7"
"Set","2022-12-05T15:45:00Z",1100,"7"
"Rise","2022-12-06T02:40:00Z",315,"7"
"Set","2022-12-06T15:50:00Z",1105,"7"
"Rise","2022-12-07T02:50:00Z",325,"7"
"Set","2022-12-07T15:45:00Z",1100,"7"
"Rise","2022-12-08T02:40:00Z",315,"7"
"Set","2022-12-08T15:45:00Z",1100,"7"
"Rise","2022-12-09T02:45:00Z",320,"7"
"Set","2022-12-09T15:50:00Z",1105,"7"
"Rise","2022-12-10T02:45:00Z",320,"7"
"Set","2022-12-10T15:50:00Z",1105,"7"
"Rise","2022-12-11T02:40:00Z",315,"7"
"Set","2022-12-11T15:45:00Z",1100,"7"
"Rise","2022-12-12T02:45:00Z",320,"7"
"Set","2022-12-12T15:50:00Z",1105,"7"
"Rise","2022-12-13T02:40:00Z",315,"7"
"Set","2022-12-13T15:45:00Z",1100,"7"
"Rise","2022-12-14T02:40:00Z",315,"7"
"Set","2022-12-14T15:45:00Z",1100,"7"
"Rise","2022-12-15T02:55:00Z",330,"7"
"Set","2022-12-15T15:45:00Z",1100,"7"
"Rise","2022-12-16T02:45:00Z",320,"7"
"Set","2022-12-16T15:45:00Z",1100,"7"
"Rise","2022-12-17T02:45:00Z",320,"7"
"Set","2022-12-17T15:55:00Z",1110,"7"
"Rise","2022-12-18T02:45:00Z",320,"7"
"Set","2022-12-18T15:50:00Z",1105,"7"
"Rise","2022-12-19T02:55:00Z",330,"7"
