"series","timestamp","value","label"
"Rise","2023-07-07T03:20:00Z",355,"1"
"Set","2023-07-07T15:30:00Z",1085,"1"
"Rise","2023-07-08T03:25:00Z",360,"1"
"Set","2023-07-08T15:30:00Z",1085,"1"
"Rise","2023-07-09T03:15:00Z",350,"1"
"Set","2023-07-09T15:30:00Z",1085,"1"
"Rise","2023-07-10T03:05:00Z",340,"1"
"Set","2023-07-10T15:25:00Z",1080,"1"
"Rise","2023-07-11T03:15:00Z",350,"1"
"Set","2023-07-11T15:30:00Z",1085,"1"
"Rise","2023-07-12T03:15:00Z",350,"1"
"Set","2023-07-12T15:30:00Z",1085,"1"
"Rise","2023-07-13T03:05:00Z",340,"1"
"Set","2023-07-13T15:30:00Z",1085,"1"
"Rise","2023-07-14T03:10:00Z",345,"1"
"Set","2023-07-14T15:25:00Z",1080,"1"
"Rise","2023-07-15T03:20:00Z",355,"1"
"Set","2023-07-15T15:25:00Z",1080,"1"
"Rise","2023-07-16T03:05:00Z",340,"1"
"Set","2023-07-16T15:30:00Z",1085,"1"
"Rise","2023-07-17T03:10:00Z",345,"1"
"Set","2023-07-17T15:30:00Z",1085,"1"
"Rise","2023-07-18T03:10:00Z",345,"1"
"Set","2023-07-18T15:30:00Z",1085,"1"
"Rise","2023-07-19T03:10:00Z",345,"1"
"Set","2023-07-19T15:35:00Z",1090,"1"
"Rise","2023-07-20T03:20:00Z",355,"1"
"Set","2023-07-20T15:30:00Z",1085,"1"
"Rise","2023-07-21T03:20:00Z",355,"1"
"Set","2023-07-21T15:30:00Z",1085,"1"
"Rise","2023-07-22T03:10:00Z",345,"1"
"Set","2023-07-22T15:30:00Z",1085,"1"
"Rise","2023-07-23T03:20:00Z",355,"1"
"Set","2023-07-23T15:30:00Z",1085,"1"
"Rise","2023-07-24T03:10:00Z",345,"1"
"Set","2023-07-24T15:30:00Z",1085,"1"
"Rise","2023-07-25T03:10:00Z",345,"1"
"Set","2023-07-25T15:30:00Z",1085,"1"
"Rise","2023-07-26T03:05:00Z",340,"1"
"Set","2023-07-26T15:25:00Z",1080,"1"
"Rise","2023-07-27T03:20:00Z",355,"1"
"Set","2023-07-27T15:30:00Z",1085,"1"
"Rise","2023-07-28T03:15:00Z",350,"1"
"Set","2023-07-28T15:20:00Z",1075,"1"
"Rise","2023-07-29T03:15:00Z",350,"1"
"Set","2023-07-29T15:35:00Z",1090,"1"
"Rise","2023-07-30T03:20:00Z",355,"1"
"Set","2023-07-30T15:25:00Z",1080,"1"
"Rise","2023-07-31T03:25:00Z",360,"1"
"Set","2023-07-31T15:30:00Z",1085,"1"
"Rise","2023-08-01T03:25:00Z",360,"1"
"Set","2023-08-01T15:40:00Z",1095,"1"
"Rise","2023-08-02T03:15:00Z",350,"1"
"Set","2023-08-02T15:20:00Z",1075,"1"
"Rise","2023-08-03T03:25:00Z",360,"1"
"Set","2023-08-03T15:30:00Z",1085,"1"
"Rise","2023-08-04T03:15:00Z",350,"1"
"Set","2023-08-04T15:20:00Z",1075,"1"
"Rise","2023-08-05T03:20:00Z",355,"1"
"Set","2023-08-05T15:30:00Z",1085,"1"
"Rise","2023-08-06T03:20:00Z",355,"1"
"Set","2023-08-06T15:25:00Z",1080,"1"
"Rise","2023-08-07T03:15:00Z",350,"1"
"Set","2023-08-07T15:20:00Z",1075,"1"
"Rise","2023-08-08T03:15:00Z",350,"1"
"Set","2023-08-08T15:30:00Z",1085,"1"
"Rise","2023-08-09T03:15:00Z",350,"1"
"Set","2023-08-09T15:20:00Z",1075,"1"
"Rise","2023-08-10T03:10:00Z",345,"1"
"Set","2023-08-10T15:20:00Z",1075,"1"
"Rise","2023-08-11T03:30:00Z",365,"1"
"Set","2023-08-11T15:30:00Z",1085,"1"
"Rise","2023-08-12T03:10:00Z",345,"1"
"Set","2023-08-12T15:35:00Z",1090,"1"
"Rise","2023-08-13T03:15:00Z",350,"1"
"Set","2023-08-13T15:30:00Z",1085,"1"
"Rise","2023-08-14T03:15:00Z",350,"1"
"Set","2023-08-14T15:30:00Z",1085,"1"
"Rise","2023-08-15T03:35:00Z",370,"1"
"Set","2023-08-15T15:10:00Z",1065,"1"
"Rise","2023-08-16T03:15:00Z",350,"1"
"Set","2023-08-16T15:30:00Z",1085,"1"
"Rise","2023-08-17T03:15:00Z",350,"1"
"Set","2023-08-17T15:35:00Z",1090,"1"
"Rise","2023-08-18T03:10:00Z",345,"1"
"Set","2023-08-18T15:30:00Z",1085,"1"
"Rise","2023-08-19T03:15:00Z",350,"1"
"Set","2023-08-19T15:25:00Z",1080,"1"
"Rise","2023-08-20T03:05:00Z",340,"1"
"Set","2023-08-20T15:30:00Z",1085,"1"
"Rise","2023-08-21T03:20:00Z",355,"1"
"Set","2023-08-21T15:25:00Z",1080,"1"
"Rise","2023-08-22T03:35:00Z",370,"1"
"Set","2023-08-22T15:25:00Z",1080,"1"
"Rise","2023-08-23T03:00:00Z",335,"1"
"Set","2023-08-23T15:20:00Z",1075,"1"
"Rise","2023-08-24T03:05:00Z",340,"1"
"Set","2023-08-24T15:20:00Z",1075,"1"
"Rise","2023-08-25T03:15:00Z",350,"1"
"Set","2023-08-25T15:35:00Z",1090,"1"
"Rise","2023-08-26T03:05:00Z",340,"1"
"Set","2023-08-26T15:30:00Z",1085,"1"
"Rise","2023-08-27T03:05:00Z",340,"1"
"Set","2023-08-27T15:35:00Z",1090,"1"
"Rise","2023-08-28T03:10:00Z",345,"1"
"Set","2023-08-28T15:30:00Z",1085,"1"
"Rise","2023-08-29T03:35:00Z",370,"1"
"Set","2023-08-29T15:25:00Z",1080,"1"
"Rise","2023-08-30T03:10:00Z",345,"1"
"Set","2023-08-30T15:25:00Z",1080,"1"
"Rise","2023-08-31T03:15:00Z",350,"1"
"Set","2023-08-31T15:25:00Z",1080,"1"
"Rise","2023-09-01T03:05:00Z",340,"1"
"Set","2023-09-01T15:10:00Z",1065,"1"
"Rise","2023-09-02T03:10:00Z",345,"1"
"Set","2023-09-02T15:20:00Z",1075,"1"
"Rise","2023-09-03T03:15:00Z",350,"1"
