"series","timestamp","value","label"
"Rise","2024-07-11T06:45:00Z",555,"discard"
"Set","2024-07-11T15:15:00Z",1065,""
"Rise","2024-07-12T04:30:00Z",420,"discard"
"Set","2024-07-12T14:45:00Z",1035,"discard"
"Rise","2024-07-13T03:30:00Z",360,""
"Set","2024-07-13T15:20:00Z",1070,""
"Rise","2024-07-14T03:40:00Z",370,""
"Set","2024-07-14T15:10:00Z",1060,""
"Rise","2024-07-15T03:20:00Z",350,""
"Set","2024-07-15T15:25:00Z",1075,""
"Rise","2024-07-16T03:35:00Z",365,""
"Set","2024-07-16T15:25:00Z",1075,""
"Rise","2024-07-17T03:10:00Z",340,""
"Set","2024-07-17T15:30:00Z",1080,""
"Rise","2024-07-18T03:15:00Z",345,""
"Set","2024-07-18T15:25:00Z",1075,""
"Rise","2024-07-19T03:45:00Z",375,""
"Set","2024-07-19T15:20:00Z",1070,""
"Rise","2024-07-20T03:15:00Z",345,""
"Set","2024-07-20T15:30:00Z",1080,""
"Rise","2024-07-21T03:40:00Z",370,""
"Set","2024-07-21T15:35:00Z",1085,""
"Rise","2024-07-22T03:35:00Z",365,""
"Set","2024-07-22T15:20:00Z",1070,""
"Rise","2024-07-23T03:25:00Z",355,""
"Set","2024-07-23T15:20:00Z",1070,""
"Rise","2024-07-24T03:40:00Z",370,""
"Set","2024-07-24T15:15:00Z",1065,""
"Rise","2024-07-25T03:15:00Z",345,""
"Set","2024-07-25T15:00:00Z",1050,""
"Rise","2024-07-26T03:45:00Z",375,""
"Set","2024-07-26T15:15:00Z",1065,""
"Rise","2024-07-27T03:30:00Z",360,""
"Set","2024-07-27T15:05:00Z",1055,""
"Rise","2024-07-28T03:50:00Z",380,""
"Set","2024-07-28T15:10:00Z",1060,""
"Rise","2024-07-29T03:30:00Z",360,""
"Set","2024-07-29T15:20:00Z",1070,""
"Rise","2024-07-30T03:40:00Z",370,""
"Set","2024-07-30T15:15:00Z",1065,""
"Rise","2024-07-31T03:50:00Z",380,""
"Set","2024-07-31T15:10:00Z",1060,""
"Rise","2024-08-01T03:30:00Z",360,""
"Set","2024-08-01T15:05:00Z",1055,""
"Rise","2024-08-02T03:40:00Z",370,""
"Set","2024-08-02T15:20:00Z",1070,""
"Rise","2024-08-03T03:30:00Z",360,""
"Set","2024-08-03T15:35:00Z",1085,""
"Rise","2024-08-04T03:40:00Z",370,""
"Set","2024-08-04T15:30:00Z",1080,""
"Rise","2024-08-05T03:40:00Z",370,""
"Set","2024-08-05T15:10:00Z",1060,""
"Rise","2024-08-06T03:25:00Z",355,""
"Set","2024-08-06T14:40:00Z",1030,"discard"
"Rise","2024-08-07T03:45:00Z",375,""
"Set","2024-08-07T15:40:00Z",1090,""
"Rise","2024-08-08T03:30:00Z",360,""
"Set","2024-08-08T15:25:00Z",1075,""
"Rise","2024-08-09T03:25:00Z",355,""
"Set","2024-08-09T15:25:00Z",1075,""
"Rise","2024-08-10T03:30:00Z",360,""
"Set","2024-08-10T15:30:00Z",1080,""
"Rise","2024-08-11T03:40:00Z",370,""
"Set","2024-08-11T14:35:00Z",1025,"discard"
"Rise","2024-08-12T03:10:00Z",340,""
"Set","2024-08-12T15:25:00Z",1075,""
"Rise","2024-08-13T03:25:00Z",355,""
"Set","2024-08-13T15:00:00Z",1050,""
"Rise","2024-08-14T03:10:00Z",340,""
"Set","2024-08-14T13:50:00Z",980,"discard"
"Rise","2024-08-15T03:10:00Z",340,""
"Set","2024-08-15T15:25:00Z",1075,""
"Rise","2024-08-16T03:25:00Z",355,""
"Set","2024-08-16T15:20:00Z",1070,""
"Rise","2024-08-17T03:40:00Z",370,""
"Set","2024-08-17T15:10:00Z",1060,""
"Rise","2024-08-18T03:15:00Z",345,""
"Set","2024-08-18T15:35:00Z",1085,""
"Rise","2024-08-19T03:35:00Z",365,""
"Set","2024-08-19T15:20:00Z",1070,""
"Rise","2024-08-20T03:40:00Z",370,""
"Set","2024-08-20T15:15:00Z",1065,""
"Rise","2024-08-21T03:15:00Z",345,""
"Set","2024-08-21T15:10:00Z",1060,""
"Rise","2024-08-22T03:35:00Z",365,""
"Set","2024-08-22T15:25:00Z",1075,""
