series,timestamp,value,label
Rise,2024-09-26T04:25:00.000Z,415,discard
Set,2024-09-26T15:30:00.000Z,1080,1
Rise,2024-09-27T03:15:00.000Z,345,1
Set,2024-09-27T15:25:00.000Z,1075,1
Rise,2024-09-28T03:00:00.000Z,330,1
Set,2024-09-28T15:05:00.000Z,1055,1
Rise,2024-09-29T03:00:00.000Z,330,1
Set,2024-09-29T15:25:00.000Z,1075,1
Rise,2024-09-30T03:20:00.000Z,350,1
Set,2024-09-30T15:20:00.000Z,1070,1
Rise,2024-10-01T03:00:00.000Z,330,1
Set,2024-10-01T15:25:00.000Z,1075,1
Rise,2024-10-02T03:00:00.000Z,330,1
Set,2024-10-02T15:10:00.000Z,1060,1
Rise,2024-10-03T03:15:00.000Z,345,1
Set,2024-10-03T15:10:00.000Z,1060,1
Rise,2024-10-04T03:15:00.000Z,345,1
Set,2024-10-04T15:20:00.000Z,1070,1
Rise,2024-10-05T03:05:00.000Z,335,1
Set,2024-10-05T14:45:00.000Z,1035,
Rise,2024-10-06T03:15:00.000Z,345,1
Set,2024-10-06T15:20:00.000Z,1070,1
Rise,2024-10-07T03:00:00.000Z,330,1
Set,2024-10-07T15:15:00.000Z,1065,1
Rise,2024-10-08T03:10:00.000Z,340,1
Set,2024-10-08T15:20:00.000Z,1070,1
Rise,2024-10-09T03:10:00.000Z,340,1
Set,2024-10-09T15:05:00.000Z,1055,1
Rise,2024-10-10T02:50:00.000Z,320,1
Set,2024-10-10T15:25:00.000Z,1075,1
Rise,2024-10-11T02:55:00.000Z,325,1
Set,2024-10-11T15:15:00.000Z,1065,1
Rise,2024-10-12T02:55:00.000Z,325,1
Set,2024-10-12T15:15:00.000Z,1065,1
Rise,2024-10-13T02:55:00.000Z,325,1
Set,2024-10-13T15:00:00.000Z,1050,1
Rise,2024-10-14T02:55:00.000Z,325,1
Set,2024-10-14T15:15:00.000Z,1065,1
Rise,2024-10-15T02:55:00.000Z,325,1
Set,2024-10-15T15:30:00.000Z,1080,1
Rise,2024-10-16T03:00:00.000Z,330,1
Set,2024-10-16T15:15:00.000Z,1065,1
Rise,2024-10-17T02:55:00.000Z,325,1
Set,2024-10-17T15:20:00.000Z,1070,1
Rise,2024-10-18T03:25:00.000Z,355,1
Set,2024-10-18T15:05:00.000Z,1055,1
Rise,2024-10-19T02:55:00.000Z,325,1
Set,2024-10-19T15:15:00.000Z,1065,1
Rise,2024-10-20T02:55:00.000Z,325,1
Set,2024-10-20T15:20:00.000Z,1070,1
Rise,2024-10-21T02:45:00.000Z,315,1
